AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
KGCN	GCN	GCN	Grand Canyon National Park Airport	Tusayan, Arizona, United States
KGCY	GCY	GCY	Greeneville-Greene County Municipal Airport	Greeneville, Tennessee, United States
KGDM	GDM	GDM	Gardner Municipal Airport	Gardner, Massachusetts, United States
KGDV	GDV	GDV	Dawson Community Airport	Glendive, Montana, United States
KGDW	GDW	GDW	Gladwin Zettel Memorial Airport	Gladwin, Michigan, United States
KGED	GED	GED	Sussex County Airport	Georgetown, Delaware, United States
KGEG	GEG	GEG	Spokane International Airport	Spokane, Washington, United States
KGEO		GEO	Brown County Airport	Georgetown, Ohio, United States
KGEY	GEY	GEY	South Big Horn County Airport	Greybull, Wyoming, United States
KGFA	GFA	GFA	Malmstrom Air Force Base (heliport)	Great Falls, Montana, United States
KGFD	GFD	GFD	Pope Field	Greenfield, Indiana, United States
KGFK	GFK	GFK	Grand Forks International Airport	Grand Forks, North Dakota, United States
KGFL	GFL	GFL	Floyd Bennett Memorial Airport	Glens Falls, New York, United States
KGGE	GGE	GGE	Georgetown County Airport	Georgetown, South Carolina, United States
KGGG	GGG	GGG	East Texas Regional Airport	Longview, Texas, United States
KGGW	GGW	GGW	Glasgow Airport (Wokal Field)	Glasgow, Montana, United States
KGHM	GHM	GHM	Centerville Municipal Airport	Centerville, Tennessee, United States
KGIF	GIF	GIF	Winter Haven's Gilbert Airport	Winter Haven, Florida, United States
KGJT	GJT	GJT	Grand Junction Regional Airport (Walker Field)	Grand Junction, Colorado, United States
KGKJ	MEJ	GKJ	Port Meadville Airport (FAA: GKJ)	Meadville, Pennsylvania, United States
KGKT	GKT	GKT	Gatlinburg-Pigeon Forge Airport	Sevierville, Tennessee, United States
KGLD	GLD	GLD	Goodland Municipal Airport (Renner Field)	Goodland, Kansas, United States
KGLE	GLE	GLE	Gainesville Municipal Airport	Gainesville, Texas, United States
KGLH	GLH	GLH	Mid-Delta Regional Airport	Greenville, Mississippi, United States
KGLR	GLR	GLR	Gaylord Regional Airport	Gaylord, Michigan, United States
KGLS	GLS	GLS	Scholes International Airport at Galveston	Galveston, Texas, United States
KGLW	GLW	GLW	Glasgow Municipal Airport	Glasgow, Kentucky, United States
KGMJ	GMJ	GMJ	Grove Municipal Airport	Grove, Oklahoma, United States
KGMU	GMU	GMU	Greenville Downtown Airport	Greenville, South Carolina, United States
KGNG	GNG	GNG	Gooding Municipal Airport	Gooding, Idaho, United States
KGNT	GNT	GNT	Grants-Milan Municipal Airport	Grants, New Mexico, United States
KGNV	GNV	GNV	Gainesville Regional Airport	Gainesville, Florida, United States
KGOK	GOK	GOK	Guthrie-Edmond Regional Airport (was Guthrie Municipal)	Guthrie, Oklahoma, United States
KGON	GON	GON	Groton-New London Airport	Groton, Connecticut, United States
KGPI	FCA	GPI	Glacier Park International Airport (FAA: GPI)	Kalispell, Montana, United States
KGPT	GPT	GPT	Gulfport-Biloxi International Airport	Gulfport, Mississippi, United States
KGPZ	GPZ	GPZ	Grand Rapids/Itasca County Airport (Gordon Newstrom Field)	Grand Rapids, Minnesota, United States
KGQQ	GQQ	GQQ	Galion Municipal Airport	Galion, Ohio, United States
KGRB	GRB	GRB	Austin Straubel International Airport	Green Bay, Wisconsin, United States
KGRD	GRD	GRD	Greenwood County Airport	Greenwood, South Carolina, United States
KGRE	GRE	GRE	Greenville Airport	Greenville, Illinois, United States
KGRF	GRF	GRF	Gray Army Airfield (Fort Lewis)	Tacoma, Washington, United States
KGRI	GRI	GRI	Central Nebraska Regional Airport	Grand Island, Nebraska, United States
KGRK	GRK	GRK	Killeen-Fort Hood Regional Airport (Robert Gray Army Airfield)	Fort Hood / Killeen, Texas, United States
KGRN	GRN	GRN	Gordon Municipal Airport	Gordon, Nebraska, United States
KGRR	GRR	GRR	Gerald R. Ford International Airport	Grand Rapids, Michigan, United States
KGSB	GSB	GSB	Seymour Johnson Air Force Base	Goldsboro, North Carolina, United States
KGSH	GSH	GSH	Goshen Municipal Airport	Goshen, Indiana, United States
KGSO	GSO	GSO	Piedmont Triad International Airport	Greensboro, North Carolina, United States
KGSP	GSP	GSP	Greenville-Spartanburg International Airport	Greenville / Spartanburg, South Carolina, United States
KGTF	GTF	GTF	Great Falls International Airport	Great Falls, Montana, United States
KGTG	GTG	GTG	Grantsburg Municipal Airport	Grantsburg, Wisconsin, United States
KGTR	GTR	GTR	Golden Triangle Regional Airport	Columbus/West Point/Starkville, Mississippi, United States
KGUC	GUC	GUC	Gunnison-Crested Butte Regional Airport	Gunnison, Colorado, United States
KGUP	GUP	GUP	Gallup Municipal Airport	Gallup, New Mexico, United States
KGUS	GUS	GUS	Grissom Air Reserve Base	Peru, Indiana, United States
KGUY	GUY	GUY	Guymon Municipal Airport	Guymon, Oklahoma, United States
KGVE	GVE	GVE	Gordonsville Municipal Airport	Gordonsville, Virginia, United States
KGVL	GVL	GVL	Lee Gilmer Memorial Airport	Gainesville, Georgia, United States
KGVT	GVT	GVT	Majors Airport	Greenville, Texas, United States
KGWO	GWO	GWO	Greenwood-Leflore Airport	Greenwood, Mississippi, United States
KGWR	GWR	GWR	Gwinner-Roger Melroe Field	Gwinner, North Dakota, United States
KGWS	GWS	GWS	Glenwood Springs Municipal Airport	Glenwood Springs, Colorado, United States
KGXY	GXY	GXY	Greeley-Weld County Airport	Greeley, Colorado, United States
KGYH	GDC	GYH	Donaldson Center Airport (FAA: GYH)	Greenville, South Carolina, United States
KGYI	PNX	GYI	North Texas Regional Airport (FAA: GYI)	Sherman/Denison, Texas, United States
KGYR	GYR	GYR	Phoenix Goodyear Airport	Goodyear, Arizona, United States
KGYY	GYY	GYY	Gary/Chicago International Airport	Gary, Indiana (near Chicago), United States
KHAB	HAB	HAB	Marion County - Rankin Fite Airport	Hamilton, Alabama, United States
KHAF	HAF	HAF	Half Moon Bay Airport	Half Moon Bay, California, United States
KHAI	HAI	HAI	Three Rivers Municipal Airport (Dr. Haines Flying Field)	Three Rivers, Michigan, United States
KHAO	HAO	HAO	Butler County Regional Airport	Hamilton, Ohio, United States
KHAX	HAX	HAX	Hatbox Field	Muskogee, Oklahoma, United States
KHBG	HBG	HBG	Bobby L. Chain Municipal Airport	Hattiesburg, Mississippi, United States
KHBR	HBR	HBR	Hobart Municipal Airport	Hobart, Oklahoma, United States
KHDE	HDE	HDE	Brewster Field	Holdrege, Nebraska, United States
KHDN	HDN	HDN	Yampa Valley Airport	Hayden, Colorado, United States
KHDO	HDO	HDO	Hondo Municipal Airport (former Hondo AAF)	Hondo, Texas, United States
KHEE	HEE	HEE	Thompson-Robbins Airport	Helena / West Helena, Arkansas, United States
KHEF	MNZ	HEF	Manassas Regional Airport (Harry P. Davis Field) (FAA: HEF)	Manassas, Virginia, United States
KHEY	HEY	HEY	Hanchey Army Heliport	Fort Rucker, Dale County, Alabama, United States
KHEZ	HEZ	HEZ	Natchez-Adams County Airport (Hardy-Anders Field)	Natchez, Mississippi, United States
KHFD	HFD	HFD	Hartford-Brainard Airport	Hartford, Connecticut, United States
KHFF	HFF	HFF	Mackall Army Airfield	Camp Mackall, North Carolina, United States
KHGR	HGR	HGR	Hagerstown Regional Airport (Richard A. Henson Field)	Hagerstown, Maryland, United States
KHGT	HGT	HGT	Tusi Army Heliport	Fort Hunter Liggett / Jolon, California, United States
KHHR	HHR	HHR	Hawthorne Municipal Airport (Jack Northrop Field)	Hawthorne, California, United States
KHHW	HUJ	HHW	Stan Stamper Municipal Airport (FAA: HHW)	Hugo, Oklahoma, United States
KHIB	HIB	HIB	Chisholm-Hibbing Airport	Hibbing, Minnesota, United States
KHIE	HIE	HIE	Mount Washington Regional Airport	Whitefield, New Hampshire, United States
KHIF	HIF	HIF	Hill Air Force Base	Ogden, Utah, United States
KHII	HII	HII	Lake Havasu City Airport	Lake Havasu City, Arizona, United States
KHIO	HIO	HIO	Portland-Hillsboro Airport	Hillsboro / Portland, Oregon, United States
KHKA	HKA	HKA	Blytheville Municipal Airport	Blytheville, Arkansas, United States
KHKS	HKS	HKS	Hawkins Field	Jackson, Mississippi, United States
KHKY	HKY	HKY	Hickory Regional Airport	Hickory, North Carolina, United States
KHLB	HLB	HLB	Hillenbrand Industries Airport	Batesville, Indiana, United States
KHLC	HLC	HLC	Hill City Municipal Airport	Hill City, Kansas, United States
KHLG	HLG	HLG	Wheeling Ohio County Airport	Wheeling, West Virginia, United States
KHLM	HLM	HLM	Park Township Airport	Holland, Michigan, United States
KHLN	HLN	HLN	Helena Regional Airport	Helena, Montana, United States
KHLR	HLR	HLR	Hood Army Airfield	Fort Hood / Killeen, Texas, United States
KHMN	HMN	HMN	Holloman Air Force Base	Alamogordo, New Mexico, United States
KHMT	HMT	HMT	Hemet-Ryan Airport	Hemet, California, United States
KHNB	HNB	HNB	Huntingburg Airport	Huntingburg, Indiana, United States
KHND	HSH	HND	Henderson Executive Airport (FAA: HND)	Henderson / Las Vegas, Nevada, United States
KHOB	HOB	HOB	Lea County Regional Airport	Hobbs, New Mexico, United States
KHON	HON	HON	Huron Regional Airport	Huron, South Dakota, United States
KHOP	HOP	HOP	Campbell Army Airfield	Fort Campbell / Hopkinsville, Kentucky, United States
KHOT	HOT	HOT	Memorial Field Airport	Hot Springs, Arkansas, United States
KHOU	HOU	HOU	William P. Hobby Airport	Houston, Texas, United States
KHPN	HPN	HPN	Westchester County Airport	White Plains, New York, United States
KHPT	HPT	HPT	Hampton Municipal Airport	Hampton, Iowa, United States
KHPY	HPY	HPY	Baytown Airport	Baytown, Texas, United States
KHQM	HQM	HQM	Bowerman Airport	Hoquiam, Washington, United States
KHRI	HES	HRI	Hermiston Municipal Airport (FAA: HRI)	Hermiston, Oregon, United States
KHRL	HRL	HRL	Valley International Airport	Harlingen, Texas, United States
KHRO	HRO	HRO	Boone County Airport	Harrison, Arkansas, United States
KHSB	HSB	HSB	Harrisburg-Raleigh Airport	Harrisburg, Illinois, United States
KHSD	HSD	HSD	Sundance Airpark	Oklahoma City, Oklahoma, United States
KHSE	HNC	HSE	Billy Mitchell Airport (FAA: HSE)	Hatteras, North Carolina, United States
KHSI	HSI	HSI	Hastings Municipal Airport	Hastings, Nebraska, United States
KHSP	HSP	HSP	Ingalls Field	Hot Springs, Virginia, United States
KHST	HST	HST	Homestead Air Reserve Base	Homestead, Florida, United States
KHSV	HSV	HSV	Huntsville International Airport (Carl T. Jones Field)	Huntsville / Decatur, Alabama, United States
KHTH	HTH	HTH	Hawthorne Industrial Airport	Hawthorne, Nevada, United States
KHTL	HTL	HTL	Roscommon County - Blodgett Memorial Airport	Houghton Lake, Michigan, United States
KHTO	HTO	HTO	East Hampton Airport	East Hampton, New York, United States
KHTS	HTS	HTS	Tri-State Airport (Milton J. Ferguson Field)	Huntington, West Virginia, United States
KHTW	HTW	HTW	Lawrence County Airpark	Chesapeake, Ohio / Huntington, West Virginia, United States
KHUA	HUA	HUA	Redstone Army Airfield	Redstone Arsenal (near Huntsville), Alabama, United States
KHUF	HUF	HUF	Terre Haute International Airport (Hulman Field)	Terre Haute, Indiana, United States
KHUL	HUL	HUL	Houlton International Airport	Houlton, Maine, United States
KHUM	HUM	HUM	Houma-Terrebonne Airport	Houma, Louisiana, United States
KHUT	HUT	HUT	Hutchinson Municipal Airport	Hutchinson, Kansas, United States
KHVE	HVE	HVE	Hanksville Airport	Hanksville, Utah, United States
KHVN	HVN	HVN	Tweed-New Haven Airport	New Haven, Connecticut, United States
KHVR	HVR	HVR	Havre City-County Airport	Havre, Montana, United States
KHVS	HVS	HVS	Hartsville Regional Airport	Hartsville, South Carolina, United States
KHWD	HWD	HWD	Hayward Executive Airport	Hayward, California, United States
KHWO	HWO	HWO	North Perry Airport	Hollywood, Florida, United States
KHWV	WSH	HWV	Brookhaven Airport (FAA: HWV)	Shirley, New York, United States
KHXD	HHH	HXD	Hilton Head Airport (FAA: HXD)	Hilton Head Island, South Carolina, United States
KHYA	HYA	HYA	Barnstable Municipal Airport (Boardman/Polando Field)	Hyannis, Massachusetts, United States
KHYR	HYR	HYR	Sawyer County Airport	Hayward, Wisconsin, United States
KHYS	HYS	HYS	Hays Regional Airport	Hays, Kansas, United States
KHZL	HZL	HZL	Hazleton Municipal Airport	Hazleton, Pennsylvania, United States
KHZR	HZR	HZR	False River Regional Airport	New Roads, Louisiana, United States
KHZY	JFN	HZY	Ashtabula County Airport (FAA: HZY)	Ashtabula, Ohio, United States
KIAB	IAB	IAB	McConnell Air Force Base	Wichita, Kansas, United States
KIAD	IAD	IAD	Washington Dulles International Airport	Washington, D.C. / Virginia, United States
KIAG	IAG	IAG	Niagara Falls International Airport	Niagara Falls, New York, United States
KIAH	IAH	IAH	George Bush Intercontinental Airport	Houston, Texas, United States
KICL	ICL	ICL	Schenck Field	Clarinda, Iowa, United States
KICT	ICT	ICT	Wichita Mid-Continent Airport	Wichita, Kansas, United States
KIDA	IDA	IDA	Idaho Falls Regional Airport	Idaho Falls, Idaho, United States
KIDG	IDG	IDG	Ida Grove Municipal Airport	Ida Grove, Iowa, United States
KIDI	IDI	IDI	Indiana County Airport (Jimmy Stewart Field)	Indiana, Pennsylvania, United States
KIDP	IDP	IDP	Independence Municipal Airport	Independence, Kansas, United States
KIEN	XPR	IEN	Pine Ridge Airport (FAA: IEN)	Pine Ridge, South Dakota, United States
KIFA	IFA	IFA	Iowa Falls Municipal Airport	Iowa Falls, Iowa, United States
KIFP	IFP	IFP	Laughlin/Bullhead International Airport	Bullhead City, Arizona, United States
KIGM	IGM	IGM	Kingman Airport	Kingman, Arizona, United States
KIJX	IJX	IJX	Jacksonville Municipal Airport	Jacksonville, Illinois, United States
KIKK	IKK	IKK	Greater Kankakee Airport	Kankakee, Illinois, United States
KIKV	IKV	IKV	Ankeny Regional Airport	Ankeny, Iowa, United States
KILE	ILE	ILE	Skylark Field	Killeen, Texas, United States
KILG	ILG	ILG	New Castle Airport	Wilmington, Delaware, United States
KILL		ILL	Willmar Municipal Airport (John L. Rice Field) (closed 2006)	Willmar, Minnesota, United States
KILM	ILM	ILM	Wilmington International Airport	Wilmington, North Carolina, United States
KILN	ILN	ILN	Airborne Airpark	Wilmington, Ohio, United States
KIML	IML	IML	Imperial Municipal Airport	Imperial, Nebraska, United States
KIMM	IMM	IMM	Immokalee Airport	Immokalee, Florida, United States
KIMS	MDN	IMS	Madison Municipal Airport	Madison, Indiana, United States
KIMT	IMT	IMT	Ford Airport	Iron Mountain / Kingsford, Michigan, United States
KIND	IND	IND	Indianapolis International Airport	Indianapolis, Indiana, United States
KINK	INK	INK	Winkler County Airport	Wink, Texas, United States
KINL	INL	INL	Falls International Airport	International Falls, Minnesota, United States
KINS	INS	INS	Creech Air Force Base	Indian Springs, Nevada, United States
KINT	INT	INT	Smith Reynolds Airport	Winston-Salem, North Carolina, United States
KINW	INW	INW	Winslow-Lindbergh Regional Airport	Winslow, Arizona, United States
KIOW	IOW	IOW	Iowa City Municipal Airport	Iowa City, Iowa, United States
KIPL	IPL	IPL	Imperial County Airport	Imperial, California, United States
KIPT	IPT	IPT	Williamsport Regional Airport	Williamsport, Pennsylvania, United States
KIRK	IRK	IRK	Kirksville Regional Airport	Kirksville, Missouri, United States
KIRS	IRS	IRS	Kirsch Municipal Airport	Sturgis, Michigan, United States
KISM	ISM	ISM	Kissimmee Gateway Airport	Orlando, Florida, United States
KISN	ISN	ISN	Sloulin Field International Airport	Williston, North Dakota, United States
KISO	ISO	ISO	Kinston Regional Jetport at Stallings Field	Kinston, North Carolina, United States
KISP	ISP	ISP	Long Island MacArthur Airport	Islip, New York, United States
KISQ	ISQ	ISQ	Schoolcraft County Airport	Manistique, Michigan, United States
KISW	ISW	ISW	South Wood County Airport (Alexander Field)	Wisconsin Rapids, Wisconsin, United States
KITH	ITH	ITH	Ithaca Tompkins Regional Airport	Ithaca, New York, United States
KIWA	AZA	IWA	Phoenix-Mesa Gateway Airport (FAA: IWA)	Phoenix, Arizona, United States
KIWD	IWD	IWD	Gogebic-Iron County Airport	Ironwood, Michigan, United States
KIWI	ISS	IWI	Wiscasset Airport (FAA: IWI)	Wiscasset, Maine, United States
KIWS	IWS	IWS	West Houston Airport	Houston, Texas, United States
KIXD	JCI	IXD	New Century AirCenter (FAA: IXD)	Olathe, Kansas, United States
KIYK	IYK	IYK	Inyokern Airport	Inyokern, California, United States
KIZA	SQA	IZA	Santa Ynez Airport (FAA: IZA)	Santa Ynez, California, United States
KIZG	FRY	IZG	Eastern Slopes Regional Airport (FAA: IZG)	Fryeburg, Maine, United States
KJAC	JAC	JAC	Jackson Hole Airport	Jackson, Wyoming, United States
KJAN	JAN	JAN	Jackson-Evers International Airport	Jackson, Mississippi, United States
KJAS	JAS	JAS	Jasper County Airport (Bell Field)	Jasper, Texas, United States
KJAX	JAX	JAX	Jacksonville International Airport	Jacksonville, Florida, United States
KJBR	JBR	JBR	Jonesboro Municipal Airport	Jonesboro, Arkansas, United States
KJCT	JCT	JCT	Kimble County Airport	Junction, Texas, United States
KJDN	JDN	JDN	Jordan Airport	Jordan, Montana, United States
KJEF	JEF	JEF	Jefferson City Memorial Airport	Jefferson City, Missouri, United States
KJFK	JFK	JFK	John F. Kennedy International Airport	New York City, New York, United States
KJHW	JHW	JHW	Chautauqua County-Jamestown Airport	Jamestown, New York, United States
KJKA	GUF	JKA	Jack Edwards Airport (FAA: JKA)	Gulf Shores, Alabama, United States
KJLN	JLN	JLN	Joplin Regional Airport	Joplin, Missouri, United States
KJMC	JMC	JMC	Commodore Center Heliport	Sausalito, California, United States
KJMS	JMS	JMS	Jamestown Regional Airport	Jamestown, North Dakota, United States
KJOT	JOT	JOT	Joliet Regional Airport	Joliet, Illinois, United States
KJPN	JPN	JPN	Pentagon Army Heliport	Washington, D.C., United States
KJRA	JRA	JRA	West 30th Street Heliport	New York City, New York, United States
KJRB	JRB	JRB	Downtown Manhattan Heliport (Wall St. Heliport)	New York City, New York, United States
KJSD	JSD	JSD	Sikorsky Heliport	Stratford, Connecticut, United States
KJSO	JKV	JSO	Cherokee County Airport (FAA: JSO)	Jacksonville, Texas, United States
KJST	JST	JST	John Murtha Johnstown-Cambria County Airport	Johnstown, Pennsylvania, United States
KJVL	JVL	JVL	Southern Wisconsin Regional Airport	Janesville, Wisconsin, United States
KJXN	JXN	JXN	Jackson County Airport (Reynolds Field)	Jackson, Michigan, United States
KJYO	JYO	JYO	Leesburg Executive Airport	Leesburg, Virginia, United States
KKIC	KIC	KIC	Mesa Del Rey Airport	King City, California, United States
KKLS	KLS	KLS	Southwest Washington Regional Airport (was Kelso-Longview)	Kelso, Washington, United States
KKNB	KNB	KNB	Kanab Municipal Airport	Kanab, Utah, United States
KLAA	LAA	LAA	Lamar Municipal Airport	Lamar, Colorado, United States
KLAF	LAF	LAF	Purdue University Airport	West Lafayette, Indiana, United States
KLAL	LAL	LAL	Lakeland Linder Regional Airport	Lakeland, Florida, United States
KLAM	LAM	LAM	Los Alamos County Airport	Los Alamos, New Mexico, United States
KLAN	LAN	LAN	Capital Region International Airport	Lansing, Michigan, United States
KLAR	LAR	LAR	Laramie Regional Airport	Laramie, Wyoming, United States
KLAS	LAS	LAS	McCarran International Airport	Las Vegas, Nevada, United States
KLAW	LAW	LAW	Lawton-Fort Sill Regional Airport	Lawton, Oklahoma, United States
KLAX	LAX	LAX	Los Angeles International Airport	Los Angeles, California, United States
KLBB	LBB	LBB	Lubbock Preston Smith International Airport	Lubbock, Texas, United States
KLBE	LBE	LBE	Arnold Palmer Regional Airport	Latrobe (near Pittsburgh), Pennsylvania, United States
KLBF	LBF	LBF	North Platte Regional Airport (Lee Bird Field)	North Platte, Nebraska, United States
KLBL	LBL	LBL	Liberal Municipal Airport	Liberal, Kansas, United States
KLBT	LBT	LBT	Lumberton Municipal Airport	Lumberton, North Carolina, United States
KLBX	LJN	LBX	Brazoria County Airport (FAA: LBX)	Angleton / Lake Jackson, Texas, United States
KLCH	LCH	LCH	Lake Charles Regional Airport	Lake Charles, Louisiana, United States
KLCI	LCI	LCI	Laconia Municipal Airport	Laconia, New Hampshire, United States
KLCK	LCK	LCK	Rickenbacker International Airport	Columbus, Ohio, United States
KLCQ	LCQ	LCQ	Lake City Gateway Airport	Lake City, Florida, United States
KLDJ	LDJ	LDJ	Linden Airport	Linden, New Jersey, United States
KLDM	LDM	LDM	Mason County Airport	Ludington, Michigan, United States
KLEB	LEB	LEB	Lebanon Municipal Airport	Lebanon, New Hampshire, United States
KLEE	LEE	LEE	Leesburg International Airport	Leesburg, Florida, United States
KLEM	LEM	LEM	Lemmon Municipal Airport	Lemmon, South Dakota, United States
KLEW	LEW	LEW	Auburn/Lewiston Municipal Airport	Auburn/Lewiston, Maine, United States
KLEX	LEX	LEX	Blue Grass Airport	Lexington, Kentucky, United States
KLFI	LFI	LFI	Langley Air Force Base	Hampton, Virginia, United States
KLFK	LFK	LFK	Angelina County Airport	Lufkin, Texas, United States
KLFT	LFT	LFT	Lafayette Regional Airport	Lafayette, Louisiana, United States
KLGA	LGA	LGA	LaGuardia Airport	New York City, New York, United States
KLGB	LGB	LGB	Long Beach Airport	Long Beach, California, United States
KLGC	LGC	LGC	LaGrange-Callaway Airport	LaGrange, Georgia, United States
KLGD	LGD	LGD	La Grande/Union County Airport	La Grande, Oregon, United States
KLGF	LGF	LGF	Laguna Army Airfield	Yuma Proving Ground, Arizona, United States
KLGU	LGU	LGU	Logan-Cache Airport	Logan, Utah, United States
KLHV	LHV	LHV	William T. Piper Memorial Airport	Lock Haven, Pennsylvania, United States
KLHW	LIY	LHW	MidCoast Regional Airport at Wright Army Airfield (FAA: LHW)	Fort Stewart, Hinesville, Georgia, United States
KLHZ	LFN	LHZ	Triangle North Executive Airport (Franklin County Airport) (FAA: LHZ)	Louisburg, North Carolina, United States
KLIC	LIC	LIC	Limon Municipal Airport	Limon, Colorado, United States
KLIT	LIT	LIT	Little Rock National Airport (Adams Field)	Little Rock, Arkansas, United States
KLKP	LKP	LKP	Lake Placid Airport	Lake Placid, New York, United States
KLKU	LOW	LKU	Louisa County Airport (Freeman Field) (FAA: LKU)	Louisa, Virginia, United States
KLKV	LKV	LKV	Lake County Airport	Lakeview, Oregon, United States
KLLJ	CHL	LLJ	Challis Airport (FAA: LLJ)	Challis, Idaho, United States
KLMS	LMS	LMS	Louisville Winston County Airport	Louisville, Mississippi, United States
KLMT	LMT	LMT	Klamath Falls Airport	Klamath Falls, Oregon, United States
KLNA	LNA	LNA	Palm Beach County Park Airport	West Palm Beach, Florida, United States
KLND	LND	LND	Hunt Field	Lander, Wyoming, United States
KLNK	LNK	LNK	Lincoln Airport	Lincoln, Nebraska, United States
KLNN	LNN	LNN	Willoughby Lost Nation Municipal Airport	Willoughby, Ohio, United States
KLNP	LNP	LNP	Lonesome Pine Airport	Wise, Virginia, United States
KLNR	LNR	LNR	Tri-County Regional Airport	Lone Rock, Wisconsin, United States
KLNS	LNS	LNS	Lancaster Airport	Lancaster, Pennsylvania, United States
KLOL	LOL	LOL	Derby Field	Lovelock, Nevada, United States
KLOM	BBX	LOM	Wings Field (FAA: LOM)	Blue Bell, Pennsylvania, United States
KLOR	LOR	LOR	Lowe Army Heliport (Fort Rucker)	Fort Rucker / Ozark, Alabama, United States
KLOT	LOT	LOT	Lewis University Airport	Chicago / Romeoville, Illinois, United States
KLOU	LOU	LOU	Bowman Field	Louisville, Kentucky, United States
KLOZ	LOZ	LOZ	London-Corbin Airport (Magee Field)	London, Kentucky, United States
KLPC	LPC	LPC	Lompoc Airport	Lompoc, California, United States
KLPR	LPR	LPR	Lorain County Regional Airport	Lorain / Elyria, Ohio, United States
KLQK	LQK	LQK	Pickens County Airport	Pickens, South Carolina, United States
KLQR	LQR	LQR	Larned-Pawnee County Airport	Larned, Kansas, United States
KLRD	LRD	LRD	Laredo International Airport	Laredo, Texas, United States
KLRF	LRF	LRF	Little Rock Air Force Base	Jacksonville, Arkansas, United States
KLRJ	LRJ	LRJ	Le Mars Municipal Airport	Le Mars, Iowa, United States
KLRU	LRU	LRU	Las Cruces International Airport	Las Cruces, New Mexico, United States
KLSB	LSB	LSB	Lordsburg Municipal Airport	Lordsburg, New Mexico, United States
KLSE	LSE	LSE	La Crosse Municipal Airport	La Crosse, Wisconsin, United States
KLSF	LSF	LSF	Lawson Army Airfield	Fort Benning, Columbus, Georgia, United States
KLSK	LSK	LSK	Lusk Municipal Airport	Lusk, Wyoming, United States
KLSN	LSN	LSN	Los Banos Municipal Airport	Los Banos, California, United States
KLSV	LSV	LSV	Nellis Air Force Base	Las Vegas, Nevada, United States
KLTS	LTS	LTS	Altus Air Force Base	Altus, Oklahoma, United States
KLUF	LUF	LUF	Luke Air Force Base	Glendale, Arizona, United States
KLUK	LUK	LUK	Cincinnati Municipal Airport (Lunken Field)	Cincinnati, Ohio, United States
KLUL	LUL	LUL	Hesler-Noble Field	Laurel, Mississippi, United States
KLVK	LVK	LVK	Livermore Municipal Airport	Livermore, California, United States
KLVL	LVL	LVL	Lawrenceville/Brunswick Municipal Airport	Lawrenceville, Virginia, United States
KLVM	LVM	LVM	Mission Field	Livingston, Montana, United States
KLVS	LVS	LVS	Las Vegas Municipal Airport	Las Vegas, New Mexico, United States
KLWB	LWB	LWB	Greenbrier Valley Airport	Lewisburg, West Virginia, United States
KLWC	LWC	LWC	Lawrence Municipal Airport	Lawrence, Kansas, United States
KLWL	LWL	LWL	Wells Municipal Airport (Harriet Field)	Wells, Nevada, United States
KLWM	LWM	LWM	Lawrence Municipal Airport	Lawrence, Massachusetts, United States
KLWS	LWS	LWS	Lewiston-Nez Perce County Airport	Lewiston, Idaho, United States
KLWT	LWT	LWT	Lewistown Municipal Airport	Lewistown, Montana, United States
KLWV	LWV	LWV	Lawrenceville-Vincennes International Airport	Lawrenceville, Illinois, United States
KLXN	LXN	LXN	Jim Kelly Field	Lexington, Nebraska, United States
KLXV	LXV	LXV	Lake County Airport	Leadville, Colorado, United States
KLYH	LYH	LYH	Lynchburg Regional Airport (Preston Glenn Field)	Lynchburg, Virginia, United States
KLYO	LYO	LYO	Lyons-Rice County Municipal Airport	Lyons, Kansas, United States
KMAC	MAC	MAC	Macon Downtown Airport	Macon, Georgia, United States
KMAE	MAE	MAE	Madera Municipal Airport	Madera, California, United States
KMAF	MAF	MAF	Midland International Airport	Midland, Texas, United States
KMAW	MAW	MAW	Malden Regional Airport	Malden, Missouri, United States
KMBG	MBG	MBG	Mobridge Municipal Airport	Mobridge, South Dakota, United States
KMBL	MBL	MBL	Manistee County-Blacker Airport	Manistee, Michigan, United States
KMBS	MBS	MBS	MBS International Airport	Midland/Bay City/Saginaw, Michigan, United States
KMBY	MBY	MBY	Omar N. Bradley Airport	Moberly, Missouri, United States
KMCB	MCB	MCB	McComb-Pike County Airport (John E. Lewis Field)	McComb, Mississippi, United States
KMCC	MCC	MCC	McClellan Airfield	Sacramento, California, United States
KMCD	MCD	MCD	Mackinac Island Airport	Mackinac Island, Michigan, United States
KMCE	MCE	MCE	Merced Municipal Airport (Macready Field)	Merced, California, United States
KMCF	MCF	MCF	MacDill Air Force Base	Tampa, Florida, United States
KMCI	MCI	MCI	Kansas City International Airport	Kansas City, Missouri, United States
KMCK	MCK	MCK	McCook Regional Airport	McCook, Nebraska, United States
KMCN	MCN	MCN	Middle Georgia Regional Airport	Macon, Georgia, United States
KMCO	MCO	MCO	Orlando International Airport	Orlando, Florida, United States
KMCW	MCW	MCW	Mason City Municipal Airport	Mason City, Iowa, United States
KMDA	MDA	MDA	Martindale Army Heliport (former Martindale AAF)	San Antonio, Texas, United States
KMDD	MDD	MDD	Midland Airpark	Midland, Texas, United States
KMDH	MDH	MDH	Southern Illinois Airport	Carbondale/Murphysboro, Illinois, United States
