"ANC","Ted Stevens Anchorage International","Anchorage","AK","USA",61.17432028,-149.9961856
"ATL","William B Hartsfield-Atlanta Intl","Atlanta","GA","USA",33.64044444,-84.42694444
"AUS","Austin-Bergstrom International","Austin","TX","USA",30.19453278,-97.66987194
"BDL","Bradley International","Windsor Locks","CT","USA",41.93887417,-72.68322833
"BNA","Nashville International","Nashville","TN","USA",36.12447667,-86.67818222
"BOI","Boise Air Terminal","Boise","ID","USA",43.56444444,-116.2227778
"BOS","Gen Edw L Logan Intl","Boston","MA","USA",42.3643475,-71.00517917
"BWI","Baltimore-Washington International","Baltimore","MD","USA",39.17540167,-76.66819833
"CLE","Cleveland-Hopkins Intl","Cleveland","OH","USA",41.41089417,-81.84939667
"CLT","Charlotte/Douglas International","Charlotte","NC","USA",35.21401111,-80.94312583
"CMH","Port Columbus Intl","Columbus","OH","USA",39.99798528,-82.89188278
"DCA","Ronald Reagan Washington National","Arlington","VA","USA",38.85208333,-77.03772222
"DEN","Denver Intl","Denver","CO","USA",39.85840806,-104.6670019
"DFW","Dallas-Fort Worth International","Dallas-Fort Worth","TX","USA",32.89595056,-97.0372
"DTW","Detroit Metropolitan-Wayne County","Detroit","MI","USA",42.21205889,-83.34883583
"EWR","Newark Intl","Newark","NJ","USA",40.69249722,-74.16866056
"FLL","Fort Lauderdale-Hollywood Int'l","Fort Lauderdale","FL","USA",26.07258333,-80.15275
"HNL","Honolulu International","Honolulu","HI","USA",21.31869111,-157.9224072
"IAD","Washington Dulles International","Chantilly","VA","USA",38.94453194,-77.45580972
"IAH","George Bush Intercontinental","Houston","TX","USA",29.98047222,-95.33972222
"IND","Indianapolis International","Indianapolis","IN","USA",39.71732917,-86.29438417
"JAX","Jacksonville International","Jacksonville","FL","USA",30.49405556,-81.68786111
"JFK","John F Kennedy Intl","New York","NY","USA",40.63975111,-73.77892556
"LAS","McCarran International","Las Vegas","NV","USA",36.08036111,-115.1523333
"LAX","Los Angeles International","Los Angeles","CA","USA",33.94253611,-118.4080744
"LGA","LaGuardia","New York","NY","USA",40.77724306,-73.87260917
"MCI","Kansas City International","Kansas City","MO","USA",39.29760528,-94.71390556
"MCO","Orlando International","Orlando","FL","USA",28.42888889,-81.31602778
"MDW","Chicago Midway","Chicago","IL","USA",41.7859825,-87.75242444
"MIA","Miami International","Miami","FL","USA",25.79325,-80.29055556
"MSP","Minneapolis-St Paul Intl","Minneapolis","MN","USA",44.88054694,-93.2169225
"MSY","New Orleans International ","New Orleans","LA","USA",29.99338889,-90.25802778
"OAK","Metropolitan Oakland International","Oakland","CA","USA",37.72129083,-122.2207167
"ORD","Chicago O'Hare International","Chicago","IL","USA",41.979595,-87.90446417
"PDX","Portland Intl","Portland","OR","USA",45.58872222,-122.5975
"PHL","Philadelphia Intl","Philadelphia","PA","USA",39.87195278,-75.24114083
"PHX","Phoenix Sky Harbor International","Phoenix","AZ","USA",33.43416667,-112.0080556
"PIT","Pittsburgh International","Pittsburgh","PA","USA",40.49146583,-80.23287083
"PVD","Theodore F Green State","Providence","RI","USA",41.72399917,-71.42822111
"RDU","Raleigh-Durham International","Raleigh","NC","USA",35.87763889,-78.78747222
"SAN","San Diego International-Lindbergh ","San Diego","CA","USA",32.73355611,-117.1896567
"SEA","Seattle-Tacoma Intl","Seattle","WA","USA",47.44898194,-122.3093131
"SFO","San Francisco International","San Francisco","CA","USA",37.61900194,-122.3748433
"SJC","San Jose International","San Jose","CA","USA",37.36186194,-121.9290089
"SJU","Luis Munoz Marin International","San Juan","PR","USA",18.43941667,-66.00183333
"SLC","Salt Lake City Intl","Salt Lake City","UT","USA",40.78838778,-111.9777731
"SMF","Sacramento International","Sacramento","CA","USA",38.69542167,-121.5907669
"STL","Lambert-St Louis International","St Louis","MO","USA",38.74768694,-90.35998972
"TPA","Tampa International ","Tampa","FL","USA",27.97547222,-82.53325
