AYKT	KIE		Kieta Aropa Airport	Kieta
AYKV	KVG		Kavieng Airport	Kavieng
AYKY			Kunaye Airport	Kunaye
AYLA			Lae Airfield	Lae
AYMD	MAG		Madang Airport	Madang
AYMH	HGU		Mount Hagen Airport	Mount Hagen
AYMN	MDU		Mendi Airport	Mendi
AYMO	MAS		Momote Airport	Manus Island
AYMR	MXH		Moro Airport	Moro
AYMS	MIS		Misima Airport	Misima
AYNZ	LAE		Lae Nadzab Airport	Lae / Nadzab
AYPY	POM		Port Moresby/Jackson International Airport	Port Moresby
AYRB			Rabaul Airport (old) (destroyed 1994)	Rabaul, New Britain
AYTA	TIZ		Tari Airport	Tari
AYTB	TBG		Tabubil Airport	Tabubil
AYTK	RAB		Rabaul Airport (Tokua Airport)	Rabaul / Tokua
AYVN	VAI		Vanimo Airport	Vanimo
AYWD	WBM		Wapenamanda Airport	Wapenamanda
AYWK	WWK		Wewak International Airport	Wewak
BGAA	JEG		Aasiaat Airport	Aasiaat (Egedesminde, Ausiat)
BGAG	AAP		Aappilattoq Heliport (Qaasuitsup)	Aappilattoq, Qaasuitsup
BGAK			Akunnaaq Heliport	Akunnaaq
BGAM	AGM		Tasiilaq Heliport	Tasiilaq (Ammassalik, Angmagssalik)
BGAP	LLU		Alluitsup Paa Heliport	Alluitsup Paa
BGAQ			Aappilattoq Heliport (Kujalleq)	Aappilattoq, Kujalleq
BGAR	JRK		Arsuk Heliport	Arsuk
BGAS			Ammassivik Heliport	Ammassivik
BGAT			Attu Heliport	Attu
BGBW	UAK		Narsarsuaq Airport	Narsarsuaq (Narssarssuaq)
BGCH	JCH		Qasigiannguit Heliport (Christianshåb Heliport)	Qasigiannguit (Christianshåb)
BGCO	CNP		Nerlerit Inaat Airport (Constable Pynt Airport)	Jameson Land
BGEM			(see BGAA)
BGET			Eqalugaarsuit Heliport	Eqalugaarsuit
BGFD			Narsaq Kujalleq Heliport	Narsaq Kujalleq
BGFH			(see BGPT)
BGGD	JGR		Kangilinnguit Heliport (Grønnedal Heliport)	Kangilinnguit (Grønnedal)
BGGH	GOH		Nuuk Airport	Nuuk (Godthåb)
BGGN	JGO		Qeqertarsuaq Heliport (Godhavn Heliport)	Qeqertarsuaq (Godhavn)
BGHB			(see BGSS)
BGIA	IKE		Ikerasak Heliport	Ikerasak
BGIG			Iginniarfik Heliport	Iginniarfik
BGIK			Ikerasaarsuk Heliport	Ikerasaarsuk
BGIL			Ilimanaq Heliport	Ilimanaq
BGIN			Innaarsuit Heliport	Innarsuit
BGIS			Isortoq Heliport	Isortoq
BGIT			Ikamiut Heliport	Ikamiut
BGJH	JJU		Qaqortoq Heliport (Julianehab Heliport)	Qaqortoq (Julianehab)
BGJN	JAV		Ilulissat Airport (Jakobshavn Airport)	Ilulissat (Jakobshavn)
BGKA	QPW		Kangaatsiaq Heliport	Kangaatsiaq
BGKK	KUS		Kulusuk Airport	Kulusuk
BGKL	UPK		Upernavik Kujalleq Heliport	Upernavik Kujalleq
BGKM			Kuummiit Heliport	Kuummiit
BGKQ	KLQ		Kullorsuaq Heliport	Kullorsuaq
BGKS	KAQ		Kangersuatsiaq Heliport	Kangersuatsiaq
BGKT			Kitsissuarsuit Heliport	Kitsissuarsuit
BGLL			Illorsuit Heliport	Illorsuit
BGMO			Moriussaq Heliport	Moriusaq
BGMQ	JSU		Maniitsoq Airport	Maniitsoq (Sukkertoppen)
BGNK			Niaqornaarsuk Heliport	Niaqornaarsuk
BGNL			Nalunaq Heliport	Nalunaq
BGNN	JNN		Nanortalik Heliport	Nanortalik
BGNQ	NUG		Nuugaatsiaq Heliport	Nuugaatsiaq
BGNS	JNS		Narsaq Heliport	Narsaq
BGNT			Niaqornat Heliport	Niaqornat
BGNU			Nuussuaq Heliport	Nuussuaq
BGPT	JFR		Paamiut Airport	Paamiut (Frederikshåb)
BGQA			(see BGQQ)
BGQE	QQT		Qeqertaq Heliport	Qeqertaq
BGQQ	NAQ		Qaanaaq Airport	Qaanaaq
BGQT			Qassimiut Heliport	Qassimiut
BGSC	OBY		Ittoqqortoormiit Heliport (Scoresbysund Heliport)	Ittoqqortoormiit (Scoresbysund)
BGSF	SFJ		Kangerlussuaq Airport (Søndre Strømfjord Airport)	Kangerlussuaq (Søndre Strømfjord)
BGSG			Sermiligaaq Heliport	Sermiligaaq
BGSI			Siorapaluk Heliport	Siorapaluk
BGSQ	QUP		Saqqaq Heliport	Saqqaq
BGSS	JHS		Sisimiut Airport (Holsteinsborg Airport)	Sisimiut (Holsteinsborg)
BGST			Saattut Heliport	Saattut
BGSV			Savissivik Heliport	Savissivik
BGTA			Tasiusaq Heliport (Qaasuitsup)	Tasiusaq, Qaasuitsup
BGTL	THU		Thule Air Base	Pituffik, Qaanaaq
BGTN			Tiniteqilaaq Heliport	Tiniteqilaaq
BGTQ			Tasiusaq Heliport (Kujalleq)	Tasiusaq, Kujalleq
BGUK	JUV		Upernavik Airport	Upernavik
BGUM	UMD		Uummannaq Heliport	Uummannaq
BGUQ	JQA		Qaarsut Airport	Qaarsut
BGUT			Ukkusissat Heliport	Ukkusissat
BIAR	AEY		Akureyri Airport	Akureyri
BIBA			Bakki Airport	Bakki
BIBD	BIU		Bíldudalur Airport	Bíldudalur
BIBK	BJD		Bakkafjordur Airport	Bakkafjörður
BIBL	BLO		Blönduós Airport	Blönduós
BIBR			Búðardalur Airport	Búðardalur
BIDV	DJU		Djupivogur Airport	Djupivogur
BIEG	EGS		Egilsstaðir Airport	Egilsstaðir
BIGJ	GJR		Gjögur Airport	Gjögur
BIGR	GRY		Grímsey Airport	Grímsey
BIHN	HFN		Hornafjörður Airport	Höfn
BIHU	HZK		Húsavík Airport	Húsavík
BIIS	IFJ		Ísafjörður Airport	Ísafjörður
BIKF	KEF		Keflavík International Airport (Flugstöð Leifs Eiríkssonar)	Keflavík
BIKP	OPA		Kopasker Airport	Kópasker
BIKR	SAK		Sauðárkrókur Airport	Sauðárkrókur
BINF	NOR		Nordfjordur Airport	Nordfjordur
BIPA	PFJ		Patreksfjörður Airport	Patreksfjörður
BIRF			Rif Airport	Ólafsvík
BIRG	RFN		Raufarhöfn Airport	Raufarhöfn
BIRK	RKV		Reykjavík Airport	Reykjavík
BISF			Selfoss Airport	Selfoss
BISI	SIJ		Siglufjörður Airport	Siglufjörður
BIST	SYK		Stykkishólmur Airport	Stykkishólmur
BITE	TEY		Thingeyri Airport	Þingeyri
BITN	THO		Thorshofn Airport	Þórshöfn
BIVM	VEY		Vestmannaeyjar Airport	Vestmannaeyjar
BIVO	VPN		Vopnafjörður Airport	Vopnafjörður
BKPR	PRN		Pristina International Airport	Pristina
CYAC	YAC		Cat Lake Airport	Cat Lake, Ontario
CYAD			La Grande-3 Airport	La Grande-3 generating station, Quebec
CYAG	YAG		Fort Frances Municipal Airport	Fort Frances, Ontario
CYAH	YAH		La Grande-4 Airport	La Grande-4 generating station, Quebec
CYAL	YAL		Alert Bay Airport	Alert Bay, British Columbia
CYAM	YAM		Sault Ste. Marie Airport	Sault Ste. Marie, Ontario
CYAQ	XKS		Kasabonika Airport	Kasabonika, Ontario
CYAS	YKG		Kangirsuk Airport	Kangirsuk, Quebec
CYAT	YAT		Attawapiskat Airport	Attawapiskat, Ontario
CYAU			Liverpool/South Shore Regional Airport	Liverpool, Nova Scotia
CYAV			Winnipeg/St. Andrews Airport	St. Andrews, Manitoba
CYAW	YAW		CFB Shearwater (Halifax/Shearwater Airport)	Shearwater, Nova Scotia
CYAX			Lac du Bonnet Airport	Lac du Bonnet, Manitoba
CYAY	YAY		St. Anthony Airport	St. Anthony, Newfoundland and Labrador
CYAZ	YAZ		Tofino/Long Beach Airport	Tofino, British Columbia
CYBA			Banff Airport	Banff, Alberta
CYBB	YBB		Kugaaruk Airport	Kugaaruk, Nunavut
CYBC	YBC		Baie-Comeau Airport	Baie-Comeau, Quebec
CYBD	QBC		Bella Coola Airport	Bella Coola, British Columbia
CYBE	YBE		Uranium City Airport	Uranium City, Saskatchewan
CYBF			Bonnyville Airport	Bonnyville, Alberta
CYBG	YBG		CFB Bagotville (Bagotville Airport)	Bagotville, Quebec
CYBK	YBK		Baker Lake Airport	Baker Lake, Nunavut
CYBL	YBL		Campbell River Airport	Campbell River, British Columbia
CYBN	YBN		Borden Heliport (CFB Borden)	Borden, Ontario
CYBP			Brooks Airport	Brooks, Alberta
CYBQ	XTL		Tadoule Lake Airport	Tadoule Lake, Manitoba
CYBR	YBR		Brandon Airport (Brandon Municipal Airport, McGill Field)	Brandon, Manitoba
CYBT	YBT		Brochet Airport	Brochet, Manitoba
CYBU	YBU		Nipawin Airport	Nipawin, Saskatchewan
CYBV	YBV		Berens River Airport	Berens River, Manitoba
CYBW			Calgary/Springbank Airport (Springbank Airport)	Calgary, Alberta
CYBX	YBX		Lourdes-de-Blanc-Sablon Airport	Blanc-Sablon, Quebec
CYCA	YRF		Cartwright Airport	Cartwright, Newfoundland and Labrador
CYCB	YCB		Cambridge Bay Airport	Cambridge Bay, Nunavut
CYCC	YCC		Cornwall Regional Airport	Cornwall, Ontario
CYCD	YCD		Nanaimo Airport	Nanaimo, British Columbia
CYCE	YCE		Centralia/James T. Field Memorial Aerodrome	Centralia, Ontario
CYCG	YCG		West Kootenay Regional Airport (Castlegar Airport)	Castlegar, British Columbia
CYCH	YCH		Miramichi Airport	Miramichi, New Brunswick
CYCL	YCL		Charlo Airport	Charlo, New Brunswick
CYCN	YCN		Cochrane Airport	Cochrane, Ontario
CYCO	YCO		Kugluktuk Airport	Kugluktuk, Nunavut
CYCP	YCP		Blue River Airport	Blue River, British Columbia
CYCQ	YCQ		Chetwynd Airport	Chetwynd, British Columbia
CYCR	YCR		Cross Lake (Charlie Sinclair Memorial) Airport	Cross Lake, Manitoba
CYCS	YCS		Chesterfield Inlet Airport	Chesterfield Inlet, Nunavut
CYCT			Coronation Airport	Coronation, Alberta
CYCW	YCW		Chilliwack Airport	Chilliwack, British Columbia
CYCX	YCX		Gagetown Heliport (CFB Gagetown)	Oromocto, New Brunswick
CYCY	YCY		Clyde River Airport	Clyde River, Nunavut
CYCZ	YCZ		Fairmont Hot Springs Airport	Fairmont Hot Springs, British Columbia
CYDA	YDA		Dawson City Airport	Dawson City, Yukon
CYDB	YDB		Burwash Airport	Burwash Landing, Yukon
CYDC			Princeton Aerodrome	Princeton, British Columbia
CYDF	YDF		Deer Lake Regional Airport	Deer Lake, Newfoundland and Labrador
CYDH			Ottawa/Dwyer Hill Heliport	Ottawa, Ontario
CYDL	YDL		Dease Lake Airport	Dease Lake, British Columbia
CYDM	XRR		Ross River Airport	Ross River, Yukon
CYDN	YDN		Lt. Col W.G. (Billy) Barker VC Airport (Dauphin (Lt. Col W.G. (Billy) Barker VC Airport))	Dauphin, Manitoba
CYDO	YDO		Dolbeau-Saint-Félicien Airport	Dolbeau-Mistassini, Quebec
CYDP	YDP		Nain Airport	Nain, Newfoundland and Labrador
CYDQ	YDQ		Dawson Creek Airport	Dawson Creek, British Columbia
CYEA			Empress Airport	Empress, Alberta
CYED	YED		Edmonton/Namao Heliport (CFB Edmonton)	Edmonton, Alberta
CYEE	YEE		Midland/Huronia Airport	Midland, Ontario
CYEG	YEG		Edmonton International Airport	Nisku, Alberta
CYEK	YEK		Arviat Airport	Arviat, Nunavut
CYEL	YEL		Elliot Lake Municipal Airport	Elliot Lake, Ontario
CYEM	YEM		Manitowaning/Manitoulin East Municipal Airport	Manitowaning, Ontario
CYEN	YEN		Estevan Regional Aerodrome	Estevan, Saskatchewan
CYER	YER		Fort Severn Airport	Fort Severn, Ontario
CYES			Edmundston Airport	Edmundston, New Brunswick
CYET	YET		Edson Airport	Edson, Alberta
CYEU	YEU		Eureka Aerodrome	Eureka, Nunavut
CYEV	YEV		Inuvik (Mike Zubko) Airport	Inuvik, Northwest Territories
CYEY	YEY		Amos/Magny Airport	Amos, Quebec
CYFA	YFA		Fort Albany Airport	Fort Albany, Ontario
CYFB	YFB		Iqaluit Airport	Iqaluit, Nunavut
CYFC	YFC		Fredericton International Airport	Fredericton, New Brunswick
CYFD	YFD		Brantford Airport	Brantford, Ontario
CYFE	YFE		Forestville Airport	Forestville, Quebec
CYFH	YFH		Fort Hope Airport	Fort Hope, Ontario
CYFJ			Rivière Rouge - Mont Tremblant International Airport	Mont-Tremblant, Quebec
CYFO	YFO		Flin Flon Airport	Flin Flon, Manitoba
CYFR	YFR		Fort Resolution Airport	Fort Resolution, Northwest Territories
CYFS	YFS		Fort Simpson Airport	Fort Simpson, Northwest Territories
CYFT	YMN		Makkovik Airport	Makkovik, Newfoundland and Labrador
CYGB	YGB		Texada/Gillies Bay Airport	Texada Island, British Columbia
CYGD	YGD		Goderich Airport (Goderich Municipal Airport)	Goderich, Ontario
CYGE	YGE		Golden Airport	Golden, British Columbia
CYGH	YGH		Fort Good Hope Airport	Fort Good Hope, Northwest Territories
CYGK	YGK		Kingston/Norman Rogers Airport (Kingston Airport)	Kingston, Ontario
CYGL	YGL		La Grande Rivière Airport	Radisson, Quebec
CYGM	YGM		Gimli Industrial Park Airport	Gimli, Manitoba
CYGO	YGO		Gods Lake Narrows Airport	Gods Lake Narrows, Manitoba
CYGP	YGP		Michel-Pouliot Gaspé Airport	Gaspé, Quebec
CYGQ	YGQ		Geraldton (Greenstone Regional) Airport	Geraldton, Ontario
CYGR	YGR		Îles-de-la-Madeleine Airport	Magdalen Islands, Quebec
CYGT	YGT		Igloolik Airport	Igloolik, Nunavut
CYGV	YGV		Havre Saint-Pierre Airport	Havre-Saint-Pierre, Quebec
CYGW	YGW		Kuujjuarapik Airport	Kuujjuarapik, Quebec
CYGX	YGX		Gillam Airport	Gillam, Manitoba
CYGZ	YGZ		Grise Fiord Airport	Grise Fiord, Nunavut
CYHA	YQC		Quaqtaq Airport	Quaqtaq, Quebec
CYHB	YHB		Hudson Bay Airport	Hudson Bay, Saskatchewan
CYHC	CXH		Vancouver Harbour Water Airport (Vancouver Coal Harbour Seaplane Base)	Vancouver, British Columbia
CYHD	YHD		Dryden Regional Airport	Dryden, Ontario
CYHE	YHE		Hope Aerodrome	Hope, British Columbia
CYHF	YHF		Hearst (René Fontaine) Municipal Airport	Hearst, Ontario
CYHH	YNS		Nemiscau Airport	Nemaska, Quebec
CYHI	YHI		Ulukhaktok/Holman Airport	Ulukhaktok, Northwest Territories
CYHK	YHK		Gjoa Haven Airport	Gjoa Haven, Nunavut
CYHM	YHM		John C. Munro Hamilton International Airport (Hamilton/John C. Munro International Airport	Hamilton, Ontario
CYHN	YHN		Hornepayne Municipal Airport	Hornepayne, Ontario
CYHO	YHO		Hopedale Airport	Hopedale, Newfoundland and Labrador
CYHR	YHR		Chevery Airport	Chevery, Quebec
CYHT	YHT		Haines Junction Airport	Haines Junction, Yukon
CYHU	YHU		Montréal/Saint-Hubert Airport	Longueuil, Quebec
CYHY	YHY		Hay River/Merlyn Carter Airport	Hay River, Northwest Territories
CYHZ	YHZ		Halifax Stanfield International Airport	Halifax Regional Municipality, Nova Scotia
CYIB	YIB		Atikokan Municipal Airport	Atikokan, Ontario
CYID	YDG		Digby/Annapolis Regional Airport	Digby, Nova Scotia
CYIF	YIF		Saint-Augustin Airport	Saint-Augustin, Quebec
CYIK	YIK		Ivujivik Airport	Ivujivik, Quebec
CYIO	YIO		Pond Inlet Airport	Pond Inlet, Nunavut
CYIV	YIV		Island Lake Airport	Island Lake, Manitoba
CYJA			Jasper Airport	Jasper, Alberta
CYJF	YJF		Fort Liard Airport	Fort Liard, Northwest Territories
CYJM	YJM		Fort St. James (Perison) Airport	Fort St. James, British Columbia
CYJN	YJN		Saint-Jean Airport (Saint-Jean-sur-Richelieu Airport)	Saint-Jean-sur-Richelieu, Quebec
CYJP			Fort Providence Airport	Fort Providence, Northwest Territories
CYJQ	ZEL		Denny Island Aerodrome	Bella Bella, British Columbia
CYJT	YJT		Stephenville International Airport (Stephenville Airport)	Stephenville, Newfoundland and Labrador
CYKA	YKA		Kamloops Airport	Kamloops, British Columbia
CYKC			Collins Bay Airport	Collins Bay, Saskatchewan
CYKD	LAK		Aklavik/Freddie Carmichael Airport	Aklavik, Northwest Territories
CYKF	YKF		Region of Waterloo International Airport (Kitchener/Waterloo Regional Airport)	Regional Municipality of Waterloo, Ontario
CYKG			Kangiqsujuaq (Wakeham Bay) Airport	Kangiqsujuaq, Quebec
CYKJ	YKJ		Key Lake Airport	Key Lake, Saskatchewan
CYKL	YKL		Schefferville Airport	Schefferville, Quebec
CYKO	AKV		Akulivik Airport	Akulivik, Quebec
CYKQ	YKQ		Waskaganish Airport	Waskaganish, Quebec
CYKX	YKX		Kirkland Lake Airport	Kirkland Lake, Ontario
CYKY	YKY		Kindersley Regional Airport	Kindersley, Saskatchewan
CYKZ	YKZ		Toronto/Buttonville Municipal Airport (Buttonville Municipal Airport)	Buttonville, Ontario
CYLA	YPJ		Aupaluk Airport	Aupaluk, Quebec
CYLB			Lac La Biche Airport	Lac La Biche, Alberta
CYLC	YLC		Kimmirut Airport	Kimmirut, Nunavut
CYLD	YLD		Chapleau Airport	Chapleau, Ontario
CYLH	YLH		Lansdowne House Airport	Lansdowne House, Ontario
CYLI			Lillooet Airport	Lillooet, British Columbia
CYLJ	YLJ		Meadow Lake Airport	Meadow Lake, Saskatchewan
CYLK			Lutselk'e Airport	Lutselk'e, Northwest Territories
CYLL	YLL		Lloydminster Airport	Lloydminster, Alberta
CYLQ	YLQ		La Tuque Airport	La Tuque, Quebec
CYLR	YLR		Leaf Rapids Airport	Leaf Rapids, Manitoba
CYLS			Lake Simcoe Regional Airport	Barrie/Orillia, Ontario
CYLT	YLT		Alert Airport	Alert, Nunavut
CYLU	XGR		Kangiqsualujjuaq (Georges River) Airport	Kangiqsualujjuaq, Quebec
CYLW	YLW		Kelowna International Airport	Kelowna, British Columbia
CYMA	YMA		Mayo Airport	Mayo, Yukon
CYME	YME		Matane Airport	Matane, Quebec
CYMG	YMG		Manitouwadge Airport	Manitouwadge, Ontario
CYMH	YMH		Mary's Harbour Airport	Mary's Harbour, Newfoundland and Labrador
CYMJ	YMJ		CFB Moose Jaw (Moose Jaw/Air Vice Marshal C.M. McEwen Airport)	Moose Jaw, Saskatchewan
CYML	YML		Charlevoix Airport	Charlevoix, Quebec
CYMM	YMM		Fort McMurray Airport	Fort McMurray, Alberta
CYMO	YMO		Moosonee Airport	Moosonee, Ontario
CYMT	YMT		Chibougamau/Chapais Airport	Chibougamau, Quebec
CYMU	YUD		Umiujaq Airport	Umiujaq, Quebec
CYMW	YMW		Maniwaki Airport	Maniwaki, Quebec
CYMX	YMX		Montréal-Mirabel International Airport (Montréal International (Mirabel) Airport)	Montreal, Quebec
CYNA	YNA		Natashquan Airport	Natashquan, Quebec
CYNC	YNC		Wemindji Airport	Wemindji, Quebec
CYND	YND		Gatineau-Ottawa Executive Airport (Ottawa/Gatineau Airport)	Gatineau, Quebec
CYNE	YNE		Norway House Airport	Norway House, Manitoba
CYNH	YNH		Hudson's Hope Airport	Hudson's Hope, British Columbia
CYNJ	YNJ		Langley Regional Airport (Langley Airport)	Langley, British Columbia
CYNL	YNL		Points North Landing Airport	Points North Landing, Saskatchewan
CYNM	YNM		Matagami Airport	Matagami, Quebec
CYNN			Nejanilini Lake Airport	Nejanilini Lake, Manitoba
CYNR			Fort MacKay/Horizon Airport	Fort MacKay, Alberta
CYOA	YOA		Ekati Airport	Ekati Diamond Mine, Northwest Territories
CYOC	YOC		Old Crow Airport	Old Crow, Yukon
CYOD	YOD		CFB Cold Lake (Cold Lake/Group Captain R.W. McNair Airport)	Cold Lake, Alberta
CYOH	YOH		Oxford House Airport	Oxford House, Manitoba
CYOJ	YOJ		High Level Airport	High Level, Alberta
CYOO	YOO		Oshawa Airport	Oshawa, Ontario
CYOP			Rainbow Lake Airport	Rainbow Lake, Alberta
CYOS	YOS		Owen Sound Billy Bishop Regional Airport (Billy Bishop Regional Airport)	Owen Sound, Ontario
CYOW	YOW		Ottawa Macdonald-Cartier International Airport (Macdonald-Cartier International Airport)	Ottawa, Ontario
CYOY	YOY		Valcartier (W/C J.H.L. (Joe) Lecomte) Heliport (CFB Valcartier)	Valcartier, Quebec
CYP2			Halifax (Windsor Park) Heliport	Halifax, Nova Scotia
CYPA	YPA		Prince Albert (Glass Field) Airport	Prince Albert, Saskatchewan
CYPC	YPC		Paulatuk (Nora Aliqatchialuk Ruben) Airport	Paulatuk, Northwest Territories
CYPD	YPS		Port Hawkesbury Airport	Port Hawkesbury, Nova Scotia
CYPE	YPE		Peace River Airport	Peace River, Alberta
CYPG	YPG		Portage La Prairie/Southport Airport	Portage la Prairie, Manitoba
CYPH	YPH		Inukjuak Airport	Inukjuak, Quebec
CYPK	YPK		Pitt Meadows Airport (Pitt Meadows Regional Airport)	Pitt Meadows, British Columbia
CYPL	YPL		Pickle Lake Airport	Pickle Lake, Ontario
CYPM	YPM		Pikangikum Airport	Pikangikum, Ontario
CYPN	YPN		Port-Menier Airport	Port-Menier, Quebec
CYPO	YPO		Peawanuck Airport	Peawanuck, Ontario
CYPP			Parent Airport	Parent, Quebec
CYPQ	YPQ		Peterborough Airport	Peterborough, Ontario
CYPR	YPR		Prince Rupert Airport	Prince Rupert, British Columbia
CYPS			Pemberton Aerodrome	Pemberton, British Columbia
CYPT			Pelee Island Airport	Pelee, Ontario
CYPU	YPU		Puntzi Mountain Airport	Puntzi Mountain, British Columbia
CYPW	YPW		Powell River Airport	Powell River, British Columbia
CYPX			Puvirnituq Airport	Puvirnituq, Quebec
CYPY	YPY		Fort Chipewyan Airport	Fort Chipewyan, Alberta
CYPZ	YPZ		Burns Lake Airport	Burns Lake, British Columbia
CYQA	YQA		Muskoka Airport	Muskoka, Ontario
CYQB	YQB		Québec City Jean Lesage International Airport (Jean Lesage International Airport)	Quebec City, Quebec
CYQD	YQD		The Pas Airport	The Pas, Manitoba
CYQF	YQF		Red Deer Regional Airport	Red Deer, Alberta
CYQG	YQG		Windsor Airport	Windsor, Ontario
CYQH	YQH		Watson Lake Airport	Watson Lake, Yukon
CYQI	YQI		Yarmouth Airport	Yarmouth, Nova Scotia
CYQK	YQK		Kenora Airport	Kenora, Ontario
CYQL	YQL		Lethbridge County Airport (Lethbridge Airport)	Lethbridge, Alberta
CYQM	YQM		Greater Moncton International Airport (Moncton/Greater Moncton International Airport)	Moncton, New Brunswick
CYQN	YQN		Nakina Airport	Nakina, Ontario
CYQQ	YQQ		CFB Comox (Comox Airport)	Comox, British Columbia
CYQR	YQR		Regina International Airport	Regina, Saskatchewan
CYQS	YQS		St. Thomas Municipal Airport	St. Thomas, Ontario
CYQT	YQT		Thunder Bay International Airport (Thunder Bay Airport)	Thunder Bay, Ontario
CYQU	YQU		Grande Prairie Airport	Grande Prairie, Alberta
CYQV	YQV		Yorkton Municipal Airport	Yorkton, Saskatchewan
CYQW	YQW		North Battleford (Cameron McIntosh) Airport	North Battleford, Saskatchewan
CYQX	YQX		Gander International Airport	Gander, Newfoundland and Labrador
CYQY	YQY		Sydney/J.A. Douglas McCurdy Airport	Sydney, Nova Scotia
CYQZ	YQZ		Quesnel Airport	Quesnel, British Columbia
CYRA	YRA		Gamètì/Rae Lakes Airport	Gamèti, Northwest Territories
CYRB	YRB		Resolute Bay Airport	Resolute, Nunavut
CYRC			Chicoutimi/Saint-Honore Aerodrome	Chicoutimi, Quebec
CYRI	YRI		Rivière-du-Loup Airport	Rivière-du-Loup, Quebec
CYRJ	YRJ		Roberval Airport	Roberval, Quebec
CYRL	YRL		Red Lake Airport	Red Lake, Ontario
CYRM	YRM		Rocky Mountain House Airport	Rocky Mountain House, Alberta
CYRO	YRO		Ottawa/Rockcliffe Airport (Rockcliffe Airport)	Ottawa, Ontario
CYRP	YRP		Ottawa/Carp Airport (Carp Airport)	Carp, Ontario
CYRQ	YRQ		Trois-Rivières Airport	Trois-Rivières, Quebec
CYRS	YRS		Red Sucker Lake Airport	Red Sucker Lake, Manitoba
CYRT	YRT		Rankin Inlet Airport	Rankin Inlet, Nunavut
CYRV	YRV		Revelstoke Airport	Revelstoke, British Columbia
CYSB	YSB		Sudbury Airport (Greater Sudbury Airport)	Greater Sudbury, Ontario
CYSC	YSC		Sherbrooke Airport	Sherbrooke, Quebec
CYSD	YSD		Suffield Heliport (CFB Suffield)	Suffield, Alberta
CYSE	YSE		Squamish Airport	Squamish, British Columbia
CYSF	YSF		Stony Rapids Airport	Stony Rapids, Saskatchewan
CYSG			Saint-Georges Aerodrome	Saint-Georges, Quebec
CYSH	YSH		Smiths Falls-Montague Airport (Smiths Falls-Montague (Russ Beach) Airport)	Smiths Falls, Ontario
CYSJ	YSJ		Saint John Airport	Saint John, New Brunswick
CYSK	YSK		Sanikiluaq Airport	Sanikiluaq, Nunavut
CYSL	YSL		Saint-Léonard Aerodrome	St. Leonard, New Brunswick
CYSM	YSM		Fort Smith Airport	Fort Smith, Northwest Territories
CYSN	YCM		St. Catharines/Niagara District Airport	St. Catharines, Ontario
CYSP	YSP		Marathon Aerodrome	Marathon, Ontario
CYSQ			Atlin Airport	Atlin, British Columbia
CYST	YST		St. Theresa Point Airport	St. Theresa Point, Manitoba
CYSU	YSU		Summerside Airport	Summerside, Prince Edward Island
CYSW			Sparwood/Elk Valley Airport	Sparwood, British Columbia
