Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
ccp	A	SIL	ccp					Chakma	I	L	SIL
ccq	R	SIL	ccq					Chaungtha	I	L	
ccr	A	SIL	ccr					Cacaopera	I	E	SIL
ccs	A	JAC5		ccs				South Caucasian languages	C	Genetic	
ccx	R	SIL	ccx					Northern Zhuang	I	L	
ccy	R	SIL	ccy					Southern Zhuang	I	L	
cda	A	SIL	cda					Choni	I	L	SIL
cdc	A	JAC5		cdc				Chadic languages	C	Genetic	
cdd	A	JAC5		cdd				Caddoan languages	C	Genetic	
cde	A	SIL	cde					Chenchu	I	L	SIL
cdf	A	SIL	cdf					Chiru	I	L	SIL
cdg	A	SIL	cdg					Chamari	I	L	SIL
cdh	A	SIL	cdh					Chambeali	I	L	SIL
cdi	A	SIL	cdi					Chodri	I	L	SIL
cdj	A	SIL	cdj					Churahi	I	L	SIL
cdm	A	SIL	cdm					Chepang	I	L	SIL
cdn	A	SIL	cdn					Chaudangsi	I	L	SIL
cdo	A	SIL	cdo					Min Dong Chinese	I	L	SIL
cdr	A	SIL	cdr					Cinda-Regi-Tiyal	I	L	SIL
cds	A	SIL	cds					Chadian Sign Language	I	L	SIL
cdy	A	SIL	cdy					Chadong	I	L	SIL
cdz	A	SIL	cdz					Koda	I	L	SIL
cea	A	SIL	cea					Lower Chehalis	I	E	SIL
ceb	A	JAC	ceb	ceb				Cebuano	I	L	SIL
ceg	A	SIL	ceg					Chamacoco	I	L	SIL
cek	A	SIL	cek					Eastern Khumi Chin	I	L	
cel	A	JAC		cel				Celtic languages	C	Genetic	
cen	A	SIL	cen					Cen	I	L	SIL
ces	A	JAC	ces	ces	cze	cze	cs	Czech	I	L	SIL
cet	A	SIL	cet					Centúúm	I	L	SIL
cfa	A	SIL	cfa					Dijim-Bwilim	I	L	SIL
cfd	A	SIL	cfd					Cara	I	L	SIL
cfg	A	SIL	cfg					Como Karim	I	L	SIL
cfm	A	SIL	cfm					Falam Chin	I	L	SIL
cga	A	SIL	cga					Changriwa	I	L	SIL
cgc	A	SIL	cgc					Kagayanen	I	L	SIL
cgg	A	SIL	cgg					Chiga	I	L	SIL
cgk	A	SIL	cgk					Chocangacakha	I	L	SIL
cha	A	JAC	cha	cha			ch	Chamorro	I	L	SIL
chb	A	JAC	chb	chb				Chibcha	I	E	LL
chc	A	SIL	chc					Catawba	I	E	SIL
chd	A	SIL	chd					Highland Oaxaca Chontal	I	L	SIL
che	A	JAC	che	che			ce	Chechen	I	L	SIL
chf	A	SIL	chf					Tabasco Chontal	I	L	SIL
chg	A	JAC	chg	chg				Chagatai	I	E	
chh	A	SIL	chh					Chinook	I	L	SIL
chi	A	JACB		chi		zho	zh	Chinese	M	L	
chj	A	SIL	chj					Ojitlán Chinantec	I	L	SIL
chk	A	JAC	chk	chk				Chuukese	I	L	SIL
chl	A	SIL	chl					Cahuilla	I	L	SIL
chm	A	JAC	chm	chm				Mari (Russia)	M	L	
chn	A	JAC	chn	chn				Chinook jargon	I	L	SIL
cho	A	JAC	cho	cho				Choctaw	I	L	SIL
chp	A	JAC	chp	chp				Chipewyan	I	L	SIL
chq	A	SIL	chq					Quiotepec Chinantec	I	L	SIL
chr	A	JAC	chr	chr				Cherokee	I	L	SIL
chs	R	SIL	chs					Chumash	I	E	
cht	A	SIL	cht					Cholón	I	E	SIL
chu	A	JAC	chu	chu			cu	Church Slavic	I	A	
chv	A	JAC	chv	chv			cv	Chuvash	I	L	SIL
chw	A	SIL	chw					Chuwabu	I	L	SIL
chx	A	SIL	chx					Chantyal	I	L	SIL
chy	A	JAC	chy	chy				Cheyenne	I	L	SIL
chz	A	SIL	chz					Ozumacín Chinantec	I	L	SIL
cia	A	SIL	cia					Cia-Cia	I	L	SIL
cib	A	SIL	cib					Ci Gbe	I	L	SIL
cic	A	SIL	cic					Chickasaw	I	L	SIL
cid	A	SIL	cid					Chimariko	I	E	SIL
cie	A	SIL	cie					Cineni	I	L	SIL
cih	A	SIL	cih					Chinali	I	L	SIL
cik	A	SIL	cik					Chitkuli Kinnauri	I	L	SIL
cim	A	SIL	cim					Cimbrian	I	L	SIL
cin	A	SIL	cin					Cinta Larga	I	L	SIL
cip	A	SIL	cip					Chiapanec	I	L	SIL
cir	A	SIL	cir					Tiri	I	L	SIL
cit	R	SIL	cit					Chittagonian	I	L	
ciw	A	SIL	ciw					Chippewa	I	L	SIL
ciy	A	SIL	ciy					Chaima	I	L	SIL
cja	A	SIL	cja					Western Cham	I	L	SIL
cje	A	SIL	cje					Chru	I	L	SIL
cjh	A	SIL	cjh					Upper Chehalis	I	E	SIL
cji	A	SIL	cji					Chamalal	I	L	SIL
cjk	A	SIL	cjk					Chokwe	I	L	SIL
cjm	A	SIL	cjm					Eastern Cham	I	L	SIL
cjn	A	SIL	cjn					Chenapian	I	L	SIL
cjo	A	SIL	cjo					Ashéninka Pajonal	I	L	SIL
cjp	A	SIL	cjp					Cabécar	I	L	SIL
cjr	R	LL	cjr					Chorotega	I	E	
cjs	A	SIL	cjs					Shor	I	L	SIL
cjv	A	SIL	cjv					Chuave	I	L	SIL
cjy	A	SIL	cjy					Jinyu Chinese	I	L	SIL
cka	R	SIL	cka					Khumi Awa Chin	I	L	
ckb	A	SIL	ckb					Central Kurdish	I	L	SIL
ckc	R	SIL	ckc					Northern Cakchiquel	I	L	
ckd	R	SIL	ckd					South Central Cakchiquel	I	L	
cke	R	SIL	cke					Eastern Cakchiquel	I	L	
ckf	R	SIL	ckf					Southern Cakchiquel	I	L	
ckh	A	SIL	ckh					Chak	I	L	SIL
cki	R	SIL	cki					Santa María De Jesús Cakchiquel	I	L	
ckj	R	SIL	ckj					Santo Domingo Xenacoj Cakchiquel	I	L	
ckk	R	SIL	ckk					Acatenango Southwestern Cakchiquel	I	L	
ckl	A	SIL	ckl					Cibak	I	L	SIL
ckn	A	SIL	ckn					Kaang Chin	I	L	
cko	A	SIL	cko					Anufo	I	L	SIL
ckq	A	SIL	ckq					Kajakse	I	L	SIL
ckr	A	SIL	ckr					Kairak	I	L	SIL
cks	A	SIL	cks					Tayo	I	L	SIL
ckt	A	SIL	ckt					Chukot	I	L	SIL
cku	A	SIL	cku					Koasati	I	L	SIL
ckv	A	SIL	ckv					Kavalan	I	L	SIL
ckw	R	SIL	ckw					Western Cakchiquel	I	L	
ckx	A	SIL	ckx					Caka	I	L	SIL
cky	A	SIL	cky					Cakfem-Mushere	I	L	SIL
ckz	A	SIL	ckz					Cakchiquel-Quiché Mixed Language	I	L	SIL
cla	A	SIL	cla					Ron	I	L	SIL
clc	A	SIL	clc					Chilcotin	I	L	SIL
cld	A	SIL	cld					Chaldean Neo-Aramaic	I	L	SIL
cle	A	SIL	cle					Lealao Chinantec	I	L	SIL
clh	A	SIL	clh					Chilisso	I	L	SIL
cli	A	SIL	cli					Chakali	I	L	SIL
clj	A	SIL	clj					Laitu Chin	I	L	
clk	A	SIL	clk					Idu-Mishmi	I	L	SIL
cll	A	SIL	cll					Chala	I	L	SIL
clm	A	SIL	clm					Clallam	I	L	SIL
clo	A	SIL	clo					Lowland Oaxaca Chontal	I	L	SIL
clt	A	SIL	clt					Lautu Chin	I	L	
clu	A	SIL	clu					Caluyanun	I	L	SIL
clw	A	SIL	clw					Chulym	I	L	SIL
cly	A	SIL	cly					Eastern Highland Chatino	I	L	SIL
cma	A	SIL	cma					Maa	I	L	SIL
cmc	A	JAC		cmc				Chamic languages	C	Genetic	
cme	A	SIL	cme					Cerma	I	L	SIL
cmg	A	LL	cmg					Classical Mongolian	I	H	
cmi	A	SIL	cmi					Emberá-Chamí	I	L	SIL
cmk	R	LL	cmk					Chimakum	I	E	
cml	A	SIL	cml					Campalagian	I	L	SIL
cmm	A	LL	cmm					Michigamea	I	E	
cmn	A	SIL	cmn					Mandarin Chinese	I	L	SIL
cmo	A	SIL	cmo					Central Mnong	I	L	SIL
cmr	A	SIL	cmr					Mro-Khimi Chin	I	L	SIL
cms	A	LL	cms					Messapic	I	A	
cmt	A	SIL	cmt					Camtho	I	L	SIL
cna	A	SIL	cna					Changthang	I	L	SIL
cnb	A	SIL	cnb					Chinbon Chin	I	L	SIL
cnc	A	SIL	cnc					Côông	I	L	SIL
cng	A	SIL	cng					Northern Qiang	I	L	SIL
cnh	A	SIL	cnh					Haka Chin	I	L	SIL
cni	A	SIL	cni					Asháninka	I	L	SIL
cnk	A	SIL	cnk					Khumi Chin	I	L	SIL
cnl	A	SIL	cnl					Lalana Chinantec	I	L	SIL
cnm	R	SIL	cnm					Ixtatán Chuj	I	L	
cno	A	SIL	cno					Con	I	L	SIL
cns	A	SIL	cns					Central Asmat	I	L	SIL
cnt	A	SIL	cnt					Tepetotutla Chinantec	I	L	SIL
cnu	A	SIL	cnu					Chenoua	I	L	SIL
cnw	A	SIL	cnw					Ngawn Chin	I	L	SIL
cnx	A	LL	cnx					Middle Cornish	I	H	
coa	A	SIL	coa					Cocos Islands Malay	I	L	SIL
cob	A	SIL	cob					Chicomuceltec	I	E	SIL
coc	A	SIL	coc					Cocopa	I	L	SIL
cod	A	SIL	cod					Cocama-Cocamilla	I	L	SIL
coe	A	SIL	coe					Koreguaje	I	L	SIL
cof	A	SIL	cof					Colorado	I	L	SIL
cog	A	SIL	cog					Chong	I	L	SIL
coh	A	SIL	coh					Chonyi-Dzihana-Kauma	I	L	SIL
coj	A	SIL	coj					Cochimi	I	E	SIL
cok	A	SIL	cok					Santa Teresa Cora	I	L	SIL
col	A	SIL	col					Columbia-Wenatchi	I	L	SIL
com	A	SIL	com					Comanche	I	L	SIL
con	A	SIL	con					Cofán	I	L	SIL
coo	A	SIL	coo					Comox	I	L	SIL
cop	A	JAC	cop	cop				Coptic	I	E	
coq	A	SIL	coq					Coquille	I	E	SIL
cor	A	JAC	cor	cor			kw	Cornish	I	L	SIL
cos	A	JAC	cos	cos			co	Corsican	I	L	SIL
cot	A	SIL	cot					Caquinte	I	L	SIL
cou	A	SIL	cou					Wamey	I	L	SIL
cov	A	SIL	cov					Cao Miao	I	L	SIL
cow	A	SIL	cow					Cowlitz	I	E	SIL
cox	A	SIL	cox					Nanti	I	L	SIL
coy	A	SIL	coy					Coyaima	I	E	SIL
coz	A	SIL	coz					Chochotec	I	L	SIL
cpa	A	SIL	cpa					Palantla Chinantec	I	L	SIL
cpb	A	SIL	cpb					Ucayali-Yurúa Ashéninka	I	L	SIL
cpc	A	SIL	cpc					Ajyíninka Apurucayali	I	L	SIL
cpe	A	JAC		cpe				English based Creoles and pidgins	C	Genetic-like	
cpf	A	JAC		cpf				French-Based Creoles and pidgins	C	Genetic-like	
cpg	A	SIL	cpg					Cappadocian Greek	I	E	SIL
cpi	A	SIL	cpi					Chinese Pidgin English	I	L	SIL
cpn	A	SIL	cpn					Cherepon	I	L	SIL
cpp	A	JAC		cpp				Portuguese-Based Creoles and pidgins	C	Genetic-like	
cps	A	SIL	cps					Capiznon	I	L	SIL
cpu	A	SIL	cpu					Pichis Ashéninka	I	L	SIL
cpx	A	SIL	cpx					Pu-Xian Chinese	I	L	SIL
cpy	A	SIL	cpy					South Ucayali Ashéninka	I	L	SIL
cqd	A	SIL	cqd					Chuanqiandian Cluster Miao	I	L	SIL
cqu	A	SIL	cqu					Chilean Quechua	I	L	SIL
cra	A	SIL	cra					Chara	I	L	SIL
crb	A	LL	crb					Island Carib	I	E	
crc	A	SIL	crc					Lonwolwol	I	L	SIL
crd	A	SIL	crd					Coeur d'Alene	I	L	SIL
cre	A	JAC	cre	cre			cr	Cree	M	L	
crf	A	SIL	crf					Caramanta	I	E	SIL
crg	A	SIL	crg					Michif	I	L	SIL
crh	A	JAC	crh	crh				Crimean Tatar	I	L	SIL
cri	A	SIL	cri					Sãotomense	I	L	SIL
crj	A	SIL	crj					Southern East Cree	I	L	SIL
crk	A	SIL	crk					Plains Cree	I	L	SIL
crl	A	SIL	crl					Northern East Cree	I	L	SIL
crm	A	SIL	crm					Moose Cree	I	L	SIL
crn	A	SIL	crn					El Nayar Cora	I	L	SIL
cro	A	SIL	cro					Crow	I	L	SIL
crp	A	JAC		crp				Creoles and pidgins	C	Genetic-like	
crq	A	SIL	crq					Iyo'wujwa Chorote	I	L	SIL
crr	A	SIL	crr					Carolina Algonquian	I	E	SIL
crs	A	SIL	crs					Seselwa Creole French	I	L	SIL
crt	A	SIL	crt					Iyojwa'ja Chorote	I	L	SIL
cru	R	SIL	cru					Carútana	I	E	
crv	A	SIL	crv					Chaura	I	L	SIL
crw	A	SIL	crw					Chrau	I	L	SIL
crx	A	SIL	crx					Carrier	I	L	SIL
cry	A	SIL	cry					Cori	I	L	SIL
crz	A	SIL	crz					Cruzeño	I	E	SIL
csa	A	SIL	csa					Chiltepec Chinantec	I	L	SIL
csb	A	JAC	csb	csb				Kashubian	I	L	SIL
csc	A	SIL	csc					Catalan Sign Language	I	L	SIL
csd	A	SIL	csd					Chiangmai Sign Language	I	L	SIL
cse	A	SIL	cse					Czech Sign Language	I	L	SIL
csf	A	SIL	csf					Cuba Sign Language	I	L	SIL
csg	A	SIL	csg					Chilean Sign Language	I	L	SIL
csh	A	SIL	csh					Asho Chin	I	L	SIL
csi	A	SIL	csi					Coast Miwok	I	E	SIL
csk	A	SIL	csk					Jola-Kasa	I	L	SIL
csl	A	SIL	csl					Chinese Sign Language	I	L	SIL
csm	A	SIL	csm					Central Sierra Miwok	I	L	SIL
csn	A	SIL	csn					Colombian Sign Language	I	L	SIL
cso	A	SIL	cso					Sochiapam Chinantec	I	L	SIL
csq	A	SIL	csq					Croatia Sign Language	I	L	SIL
csr	A	SIL	csr					Costa Rican Sign Language	I	L	SIL
css	A	SIL	css					Southern Ohlone	I	E	SIL
cst	A	SIL	cst					Northern Ohlone	I	L	SIL
csu	A	JAC5		csu				Central Sudanic languages	C	Genetic	
csv	A	SIL	csv					Sumtu Chin	I	L	
csw	A	SIL	csw					Swampy Cree	I	L	SIL
csy	A	SIL	csy					Siyin Chin	I	L	SIL
csz	A	SIL	csz					Coos	I	L	SIL
cta	A	SIL	cta					Tataltepec Chatino	I	L	SIL
ctc	A	SIL	ctc					Chetco	I	L	SIL
ctd	A	SIL	ctd					Tedim Chin	I	L	SIL
cte	A	SIL	cte					Tepinapa Chinantec	I	L	SIL
ctg	A	SIL	ctg					Chittagonian	I	L	SIL
cth	A	SIL	cth					Thaiphum Chin	I	L	
cti	R	SIL	cti					Tila Chol	I	L	
ctl	A	SIL	ctl					Tlacoatzintepec Chinantec	I	L	SIL
ctm	A	SIL	ctm					Chitimacha	I	E	SIL
ctn	A	SIL	ctn					Chhintange	I	L	SIL
cto	A	SIL	cto					Emberá-Catío	I	L	SIL
ctp	A	SIL	ctp					Western Highland Chatino	I	L	SIL
cts	A	SIL	cts					Northern Catanduanes Bikol	I	L	SIL
ctt	A	SIL	ctt					Wayanad Chetti	I	L	SIL
ctu	A	SIL	ctu					Chol	I	L	SIL
ctz	A	SIL	ctz					Zacatepec Chatino	I	L	SIL
cua	A	SIL	cua					Cua	I	L	SIL
cub	A	SIL	cub					Cubeo	I	L	SIL
cuc	A	SIL	cuc					Usila Chinantec	I	L	SIL
cug	A	SIL	cug					Cung	I	L	SIL
cuh	A	SIL	cuh					Chuka	I	L	SIL
cui	A	SIL	cui					Cuiba	I	L	SIL
cuj	A	SIL	cuj					Mashco Piro	I	L	SIL
cuk	A	SIL	cuk					San Blas Kuna	I	L	SIL
cul	A	SIL	cul					Culina	I	L	SIL
cum	A	SIL	cum					Cumeral	I	E	SIL
cun	R	SIL	cun					Cunén Quiché	I	L	
cuo	A	SIL	cuo					Cumanagoto	I	E	SIL
cup	A	SIL	cup					Cupeño	I	E	SIL
cuq	A	SIL	cuq					Cun	I	L	SIL
cur	A	SIL	cur					Chhulung	I	L	SIL
cus	A	JAC		cus				Cushitic languages	C	Genetic	
cut	A	SIL	cut					Teutila Cuicatec	I	L	SIL
cuu	A	SIL	cuu					Tai Ya	I	L	SIL
cuv	A	SIL	cuv					Cuvok	I	L	SIL
cuw	A	SIL	cuw					Chukwa	I	L	SIL
cux	A	SIL	cux					Tepeuxila Cuicatec	I	L	SIL
cvg	A	SIL	cvg					Chug	I	L	SIL
cvn	A	SIL	cvn					Valle Nacional Chinantec	I	L	SIL
cwa	A	SIL	cwa					Kabwa	I	L	SIL
cwb	A	SIL	cwb					Maindo	I	L	SIL
cwd	A	SIL	cwd					Woods Cree	I	L	SIL
cwe	A	SIL	cwe					Kwere	I	L	SIL
cwg	A	SIL	cwg					Chewong	I	L	SIL
cwt	A	SIL	cwt					Kuwaataay	I	L	SIL
cya	A	SIL	cya					Nopala Chatino	I	L	SIL
cyb	A	SIL	cyb					Cayubaba	I	E	SIL
cym	A	JAC	cym	cym	wel	wel	cy	Welsh	I	L	SIL
cyo	A	SIL	cyo					Cuyonon	I	L	SIL
cze	A	JACB		cze		ces	cs	Czech	I	L	
czh	A	SIL	czh					Huizhou Chinese	I	L	SIL
czk	A	LL	czk					Knaanic	I	E	
czn	A	SIL	czn					Zenzontepec Chatino	I	L	SIL
czo	A	SIL	czo					Min Zhong Chinese	I	L	SIL
czt	A	SIL	czt					Zotung Chin	I	L	SIL
daa	A	SIL	daa					Dangaléat	I	L	SIL
dac	A	SIL	dac					Dambi	I	L	SIL
dad	A	SIL	dad					Marik	I	L	SIL
dae	A	SIL	dae					Duupa	I	L	SIL
daf	A	SIL	daf					Dan	I	L	SIL
dag	A	SIL	dag					Dagbani	I	L	SIL
dah	A	SIL	dah					Gwahatike	I	L	SIL
dai	A	SIL	dai					Day	I	L	SIL
daj	A	SIL	daj					Dar Fur Daju	I	L	SIL
dak	A	JAC	dak	dak				Dakota	I	L	SIL
dal	A	SIL	dal					Dahalo	I	L	SIL
dam	A	SIL	dam					Damakawa	I	L	
dan	A	JAC	dan	dan			da	Danish	I	L	SIL
dao	A	SIL	dao					Daai Chin	I	L	SIL
dap	R	SIL	dap					Nisi (India)	I	L	
daq	A	SIL	daq					Dandami Maria	I	L	SIL
dar	A	JAC	dar	dar				Dargwa	I	L	SIL
das	A	SIL	das					Daho-Doo	I	L	SIL
dat	R	SIL	dat					Darang Deng	I	L	
dau	A	SIL	dau					Dar Sila Daju	I	L	SIL
dav	A	SIL	dav					Taita	I	L	SIL
daw	A	SIL	daw					Davawenyo	I	L	SIL
dax	A	SIL	dax					Dayi	I	L	SIL
day	A	JAC		day				Land Dayak languages	C	Genetic	
daz	A	SIL	daz					Dao	I	L	SIL
dba	A	SIL	dba					Bangi Me	I	L	SIL
dbb	A	SIL	dbb					Deno	I	L	SIL
dbd	A	SIL	dbd					Dadiya	I	L	SIL
dbe	A	SIL	dbe					Dabe	I	L	SIL
dbf	A	SIL	dbf					Edopi	I	L	SIL
dbg	A	SIL	dbg					Dogul Dom Dogon	I	L	SIL
dbi	A	SIL	dbi					Doka	I	L	SIL
dbj	A	SIL	dbj					Ida'an	I	L	SIL
dbl	A	SIL	dbl					Dyirbal	I	L	SIL
dbm	A	SIL	dbm					Duguri	I	L	SIL
dbn	A	SIL	dbn					Duriankere	I	L	SIL
dbo	A	SIL	dbo					Dulbu	I	L	SIL
dbp	A	SIL	dbp					Duwai	I	L	SIL
dbq	A	SIL	dbq					Daba	I	L	SIL
dbr	A	SIL	dbr					Dabarre	I	L	SIL
dbt	A	SIL	dbt					Ben Tey Dogon	I	L	
dbu	A	SIL	dbu					Bondum Dom Dogon	I	L	SIL
dbv	A	SIL	dbv					Dungu	I	L	SIL
dbw	A	SIL	dbw					Bankan Tey Dogon	I	L	
dby	A	SIL	dby					Dibiyaso	I	L	SIL
dcc	A	SIL	dcc					Deccan	I	L	SIL
dcr	A	SIL	dcr					Negerhollands	I	E	SIL
dda	A	SIL	dda					Dadi Dadi	I	E	
ddd	A	SIL	ddd					Dongotono	I	L	SIL
dde	A	SIL	dde					Doondo	I	L	SIL
ddg	A	SIL	ddg					Fataluku	I	L	SIL
ddi	A	SIL	ddi					West Goodenough	I	L	SIL
ddj	A	SIL	ddj					Jaru	I	L	SIL
ddn	A	SIL	ddn					Dendi (Benin)	I	L	SIL
ddo	A	SIL	ddo					Dido	I	L	SIL
ddr	A	LL	ddr					Dhudhuroa	I	E	
dds	A	SIL	dds					Donno So Dogon	I	L	SIL
ddw	A	SIL	ddw					Dawera-Daweloor	I	L	SIL
dec	A	SIL	dec					Dagik	I	L	SIL
ded	A	SIL	ded					Dedua	I	L	SIL
dee	A	SIL	dee					Dewoin	I	L	SIL
def	A	SIL	def					Dezfuli	I	L	SIL
deg	A	SIL	deg					Degema	I	L	SIL
deh	A	SIL	deh					Dehwari	I	L	SIL
dei	A	SIL	dei					Demisa	I	L	SIL
dek	A	SIL	dek					Dek	I	L	SIL
del	A	JAC	del	del				Delaware	M	L	
dem	A	SIL	dem					Dem	I	L	SIL
den	A	JAC	den	den				Slave (Athapascan)	M	L	
dep	A	SIL	dep					Pidgin Delaware	I	E	SIL
deq	A	SIL	deq					Dendi (Central African Republic)	I	L	SIL
der	A	SIL	der					Deori	I	L	SIL
des	A	SIL	des					Desano	I	L	SIL
deu	A	JAC	deu	deu	ger	ger	de	German	I	L	SIL
dev	A	SIL	dev					Domung	I	L	SIL
dez	A	SIL	dez					Dengese	I	L	SIL
dga	A	SIL	dga					Southern Dagaare	I	L	SIL
dgb	A	SIL	dgb					Bunoge Dogon	I	L	SIL
dgc	A	SIL	dgc					Casiguran Dumagat Agta	I	L	SIL
dgd	A	SIL	dgd					Dagaari Dioula	I	L	SIL
dge	A	SIL	dge					Degenan	I	L	SIL
dgg	A	SIL	dgg					Doga	I	L	SIL
dgh	A	SIL	dgh					Dghwede	I	L	SIL
dgi	A	SIL	dgi					Northern Dagara	I	L	SIL
dgk	A	SIL	dgk					Dagba	I	L	SIL
dgl	A	SIL	dgl					Andaandi	I	L	
dgn	A	SIL	dgn					Dagoman	I	E	SIL
dgo	A	SIL	dgo					Dogri (individual language)	I	L	SIL
dgr	A	JAC	dgr	dgr				Dogrib	I	L	SIL
dgs	A	SIL	dgs					Dogoso	I	L	SIL
dgt	A	SIL	dgt					Ndrag'ngith	I	E	
dgu	A	SIL	dgu					Degaru	I	L	SIL
dgw	A	SIL	dgw					Daungwurrung	I	E	
dgx	A	SIL	dgx					Doghoro	I	L	SIL
dgz	A	SIL	dgz					Daga	I	L	SIL
dha	R	SIL	dha					Dhanwar (India)	I	L	
dhd	A	SIL	dhd					Dhundari	I	L	SIL
dhg	A	SIL	dhg					Dhangu	I	L	SIL
dhi	A	SIL	dhi					Dhimal	I	L	SIL
dhl	A	SIL	dhl					Dhalandji	I	L	SIL
dhm	A	SIL	dhm					Zemba	I	L	SIL
dhn	A	SIL	dhn					Dhanki	I	L	SIL
dho	A	SIL	dho					Dhodia	I	L	SIL
dhr	A	SIL	dhr					Dhargari	I	L	SIL
dhs	A	SIL	dhs					Dhaiso	I	L	SIL
dhu	A	SIL	dhu					Dhurga	I	E	SIL
dhv	A	SIL	dhv					Dehu	I	L	SIL
dhw	A	SIL	dhw					Dhanwar (Nepal)	I	L	SIL
dia	A	SIL	dia					Dia	I	L	SIL
dib	A	SIL	dib					South Central Dinka	I	L	SIL
dic	A	SIL	dic					Lakota Dida	I	L	SIL
did	A	SIL	did					Didinga	I	L	SIL
dif	A	SIL	dif					Dieri	I	E	SIL
dig	A	SIL	dig					Digo	I	L	SIL
dih	A	SIL	dih					Kumiai	I	L	SIL
dii	A	SIL	dii					Dimbong	I	L	SIL
dij	A	SIL	dij					Dai	I	L	SIL
dik	A	SIL	dik					Southwestern Dinka	I	L	SIL
dil	A	SIL	dil					Dilling	I	L	SIL
dim	A	SIL	dim					Dime	I	L	SIL
din	A	JAC	din	din				Dinka	M	L	
dio	A	SIL	dio					Dibo	I	L	SIL
dip	A	SIL	dip					Northeastern Dinka	I	L	SIL
diq	A	SIL	diq					Dimli (individual language)	I	L	SIL
dir	A	SIL	dir					Dirim	I	L	SIL
dis	A	SIL	dis					Dimasa	I	L	SIL
dit	A	SIL	dit					Dirari	I	E	SIL
diu	A	SIL	diu					Diriku	I	L	SIL
div	A	JAC	div	div			dv	Dhivehi	I	L	SIL
diw	A	SIL	diw					Northwestern Dinka	I	L	SIL
dix	A	SIL	dix					Dixon Reef	I	L	SIL
diy	A	SIL	diy					Diuwe	I	L	SIL
diz	A	SIL	diz					Ding	I	L	SIL
dja	A	LL	dja					Djadjawurrung	I	E	
djb	A	SIL	djb					Djinba	I	L	SIL
djc	A	SIL	djc					Dar Daju Daju	I	L	SIL
djd	A	SIL	djd					Djamindjung	I	L	SIL
dje	A	SIL	dje					Zarma	I	L	SIL
djf	A	SIL	djf					Djangun	I	E	SIL
dji	A	SIL	dji					Djinang	I	L	SIL
djj	A	SIL	djj					Djeebbana	I	L	SIL
djk	A	SIL	djk					Eastern Maroon Creole	I	L	SIL
djl	A	SIL	djl					Djiwarli	I	E	SIL
djm	A	SIL	djm					Jamsay Dogon	I	L	SIL
djn	A	SIL	djn					Djauan	I	L	SIL
djo	A	SIL	djo					Jangkang	I	L	SIL
djr	A	SIL	djr					Djambarrpuyngu	I	L	SIL
dju	A	SIL	dju					Kapriman	I	L	SIL
djw	A	SIL	djw					Djawi	I	E	SIL
dka	A	SIL	dka					Dakpakha	I	L	SIL
dkk	A	SIL	dkk					Dakka	I	L	SIL
dkl	R	SIL	dkl					Kolum So Dogon	I	L	
dkr	A	SIL	dkr					Kuijau	I	L	SIL
dks	A	SIL	dks					Southeastern Dinka	I	L	SIL
dkx	A	SIL	dkx					Mazagway	I	L	SIL
dlg	A	SIL	dlg					Dolgan	I	L	SIL
dlm	A	LL	dlm					Dalmatian	I	E	
dln	A	SIL	dln					Darlong	I	L	SIL
dma	A	SIL	dma					Duma	I	L	SIL
dmb	A	SIL	dmb					Mombo Dogon	I	L	
dmc	A	SIL	dmc					Dimir	I	L	SIL
dmd	A	LL	dmd					Madhi Madhi	I	E	
dme	A	SIL	dme					Dugwor	I	L	SIL
dmg	A	SIL	dmg					Upper Kinabatangan	I	L	SIL
dmk	A	SIL	dmk					Domaaki	I	L	SIL
dml	A	SIL	dml					Dameli	I	L	SIL
dmm	A	SIL	dmm					Dama	I	L	SIL
dmn	A	JAC5		dmn				"	Mande languages"	C	Genetic	
dmo	A	SIL	dmo					Kemedzung	I	L	SIL
dmr	A	SIL	dmr					East Damar	I	L	SIL
dms	A	SIL	dms					Dampelas	I	L	SIL
dmu	A	SIL	dmu					Dubu	I	L	SIL
dmv	A	SIL	dmv					Dumpas	I	L	SIL
dmx	A	SIL	dmx					Dema	I	L	SIL
dmy	A	SIL	dmy					Demta	I	L	SIL
dna	A	SIL	dna					Upper Grand Valley Dani	I	L	SIL
dnd	A	SIL	dnd					Daonda	I	L	SIL
dne	A	SIL	dne					Ndendeule	I	L	SIL
dng	A	SIL	dng					Dungan	I	L	SIL
dni	A	SIL	dni					Lower Grand Valley Dani	I	L	SIL
dnk	A	SIL	dnk					Dengka	I	L	SIL
dnn	A	SIL	dnn					Dzùùngoo	I	L	SIL
dnr	A	SIL	dnr					Danaru	I	L	SIL
dnt	A	SIL	dnt					Mid Grand Valley Dani	I	L	SIL
dnu	A	SIL	dnu					Danau	I	L	SIL
dnv	A	SIL	dnv					Danu	I	L	
dnw	A	SIL	dnw					Western Dani	I	L	SIL
dny	A	SIL	dny					Dení	I	L	SIL
doa	A	SIL	doa					Dom	I	L	SIL
dob	A	SIL	dob					Dobu	I	L	SIL
doc	A	SIL	doc					Northern Dong	I	L	SIL
doe	A	SIL	doe					Doe	I	L	SIL
dof	A	SIL	dof					Domu	I	L	SIL
doh	A	SIL	doh					Dong	I	L	SIL
doi	A	JAC	doi	doi				Dogri (macrolanguage)	M	L	
