ALB01	Riverside Park	1880-09-11	1882-05-30	0	7	-73.75	42.64	Albany	NY	US								TRN (7:1880-1882 alt)	Riverside Park (1880-1882)	TRN played 6 games here as an alternate (neutral) site from 1880-09-11 until 1882-05-18
ALB02	Greenbush Grounds	1882-05-30	1882-05-30	0	1	NULL	NULL	Rensselaer	NY	US								TRN (1882-1882) [alt]	Greenbush Grounds (1882-1882)	TRN played 1 games here as an alternate (neutral) site from 1882-05-30 until 1882-05-30
ALT01	Columbia Park (Altoona)	1884-04-30	1884-05-31	0	18	-78.41	40.49	Altoona	PA	US								ALT (18:1884-1884)	Columbia Park (Altoona) (1884-1884); Columbia Park (1884-1884)	
ANA01	Angel Stadium of Anaheim	1966-04-19	2013-09-25	1	3836	-117.88	33.8	Anaheim	CA	US	92806	2000 Gene Autry Way		(714) 940-2000	angelsbaseball.com		logo_ana_79x76.jpg	CAL (2457:1966-1996); ANA (1379:1997-now)	Angel Stadium of Anaheim (2004-now); Anaheim Stadium (1966-1996); Edison International Field of Anaheim (1997-2003); Edison International Field; Edison Field; Angels Stadium of Anaheim; Angel Stadium	
ARL01	Arlington Stadium	1972-04-21	1993-10-03	0	1750	-97.08	32.76	Arlington	TX	US								TEX (1750:1972-1993)	Arlington Stadium (1972-1993)	
ARL02	Globe Life Park	1994-04-11	2013-09-30	1	1595	-97.08	32.75	Arlington	TX	US	76011	1000 Ballpark Way		(817) 273-5222	texasrangers.com		logo_tex_79x76.jpg	TEX (1595:1994-now)	Globe Life Park in Arlington (2014-now); Rangers Ballpark in Arlington (2007-2013); Ameriquest Field in Arlington (2004-2007); The Ballpark in Arlington (1994-2003); The Ballpark at Arlington; Ameriquest Field	
ATL01	Atlanta-Fulton County Stadium	1966-04-12	1996-09-23	0	2435	-84.39	33.74	Atlanta	GA	US								ATL (2435:1966-1996)	Atlanta-Fulton County Stadium (1975-1996); Atlanta Stadium (1966-1974)	
ATL02	Turner Field	1997-04-04	2013-09-29	1	1377	-84.39	33.74	Atlanta	GA	US	30315	755 Hank Aaron Drive		(404) 522-7630	braves.com		logo_atl_79x76.jpg	ATL (1377:1997-now)	Turner Field (1997-now)	
BAL01	Madison Avenue Grounds	1871-07-08	1871-07-08	0	1	-76.63	39.31	Baltimore	MD	US								WS3 (1:1871-1871 alt)	Madison Avenue Grounds (1871-1873); Newington Park	WS3 played 1 games here as an alternate (neutral) site from 1871-07-08 until 1871-07-08
BAL02	Newington Park	1872-04-22	1882-09-30	0	112	-76.64	39.31	Baltimore	MD	US								BL4 (1:1873-1873); BL2 (33:1882-1882); BL1 (76:1872-1874); WS6 (2:1875-1875 alt)	Newington Park (1872-1882)	WS6 played 1 games here as an alternate (neutral) site from 1875-06-09 until 1875-06-09
BAL03	Oriole Park I	1883-05-01	1888-10-13	0	352	-76.61	39.32	Baltimore	MD	US								BL2 (352:1883-1888)	Oriole Park I (1883-1889); Oriole Park	
BAL04	Belair Lot	1884-04-17	1884-09-24	0	50	-76.6	39.29	Baltimore	MD	US								BLU (49:1884-1884); CHU (1:1884-1884 alt)	Belair Lot (1884-1884)	CHU played 1 games here as an alternate (neutral) site from 1884-09-17 until 1884-09-17
BAL05	Monumental Park	1884-08-25	1884-08-25	0	1	-76.61	39.29	Baltimore	MD	US								BLU (1:1884-1884 alt)	Monumental Park (1884-1884)	BLU played 1 games here as an alternate (neutral) site from 1884-08-25 until 1884-08-25
BAL06	Oriole Park II	1889-04-18	1891-05-09	0	103	-76.61	39.32	Baltimore	MD	US								BL2 (67:1889-1889); BL3 (36:1890-1891 alt)	Oriole Park II (1890-1891); Oriole Park	
BAL07	Oriole Park III	1891-05-11	1899-10-10	0	616	-76.61	39.32	Baltimore	MD	US								BLN (560:1892-1899); BL3 (56:1891-1891)	Oriole Park III (1891-1899); Oriole Park; Union Park; Baltimore Baseball and Exhibition Grounds	
BAL09	Oriole Park IV	1901-04-26	1902-09-29	0	130	-76.61	39.32	Baltimore	MD	US								BLA (130:1901-1902)	Oriole Park IV (1901-1902); Oriole Park; American League Park	
BAL10	Terrapin Park	1914-04-13	1915-10-02	0	158	-76.61	39.32	Baltimore	MD	US								BLF (158:1914-1915)	Terrapin Park (1914-1915); Oriole Park; Oriole Park V	
BAL11	Memorial Stadium	1954-04-15	1991-10-06	0	3006	-76.6	39.33	Baltimore	MD	US								BAL (3006:1954-1991)	Memorial Stadium (1954-1991)	
BAL12	Oriole Park at Camden Yards	1992-04-06	2013-09-29	1	1746	-76.62	39.28	Baltimore	MD	US	21201	333 West Camden Street		(410) 685-9800	orioles.com		logo_bal_79x76.jpg	BAL (1746:1992-now)	Oriole Park at Camden Yards (1992-now)	
BOS01	South End Grounds I	1871-05-16	1887-09-10	0	685	-71.09	42.34	Boston	MA	US								BSN (550:1876-1887); BS1 (134:1871-1875); HR1 (1:1874-1874 alt)	South End Grounds I (1871-1887); Walpole Street Grounds	HR1 played 1 games here as an alternate (neutral) site from 1874-08-12 until 1874-08-12
BOS02	Dartmouth Grounds	1884-04-30	1884-09-24	0	57	-71.1	42.32	Boston	MA	US								BSU (57:1884-1884)	Dartmouth Grounds (1884-1884); Union Park	BSN:5/16 to 6/20/1894
BOS03	South End Grounds II	1888-05-25	1894-05-14	0	420	-71.09	42.34	Boston	MA	US								BSN (420:1888-1894 alt)	South End Grounds II (1888-1894)	
BOS04	Congress Street Grounds	1890-04-19	1894-06-20	0	167	-71.05	42.35	Boston	MA	US								BSP (70:1890-1890); BS2 (70:1891-1891); BSN (27:1894-1894 alt)	Congress Street Grounds (1890-1894)	BS2:1891
BOS05	South End Grounds III	1894-07-20	1914-08-11	0	1489	-71.09	42.34	Boston	MA	US								BSN (1489:1894-1914)	South End Grounds III (1894-1914)	
BOS06	Huntington Avenue Baseball Grounds	1901-05-08	1911-10-07	0	831	-71.09	42.34	Boston	MA	US								BOS (831:1901-1911)	Huntington Avenue Baseball Grounds (1901-1911); Huntington Avenue Grounds	
BOS07	Fenway Park	1912-04-20	2013-09-22	1	8013	-71.1	42.35	Boston	MA	US	02215	4 Yawkey Way		(617) 267-9440	redsox.com		logo_bos_79x76.jpg	BOS (7926:1912-now); BSN (87:1913-1946 alt)	Fenway Park (1912-now); Fenway Park II; Fenway Park I	BSN played 52 games here as an alternate (neutral) site from 1915-04-14 until 1915-07-26: Delay in the opening of Braves Field | BSN played 31 games here as an altern
BOS08	Braves Field	1915-08-18	1952-09-21	0	2871	-71.12	42.35	Boston	MA	US								BSN (2811:1915-1952 alt); BOS (60:1916-1932 alt)	Braves Field (1915-1952); Bee Hive	BOS played 52 games here as an alternate (neutral) site from 1929-04-28 until 1932-05-29: Alternate park for Sunday and/or holiday games | BOS played 2 games here as 
