Primary Census Statistical Area                                	2011 Estimate	2010 Census	CnsusID	Type	Abbr	Rank	Change	Core Based Statistical Areas
Indianapolis-Anderson-Columbus, IN                         	      2103574	    2080782	  294	CSA	Ind	  29	+1.10%	Indianapolis-Carmel, IN MSA | Anderson, IN MSA | Columbus, IN MSA | New Castle, IN µSA | Crawfordsville, IN µSA | North Vernon, IN µSA
Columbus-Marion-Chillicothe, OH                            	      2093185	    2071052	  198	CSA	Col	  30	+1.07%	Columbus, OH MSA | Chillicothe, OH µSA | Marion, OH µSA | Mount Vernon, OH µSA | Washington Court House, OH µSA
Las Vegas-Paradise-Pahrump, NV                             	      2013326	    1995215	  332	CSA	Lv	  31	+0.91%	Las Vegas-Paradise, NV MSA | Pahrump, NV µSA
Austin-Round Rock-Marble Falls, TX                         	      1826636	    1759039	  126	CSA	Aus	  32	+3.84%	Austin-Round Rock-San Marcos, TX MSA | Marble Falls, TX µSA
Raleigh-Durham-Cary, NC                                    	      1795750	    1749525	  450	CSA	Ral	  33	+2.64%	Raleigh-Cary, NC MSA | Durham-Chapel Hill, NC MSA | Dunn, NC µSA
Salt Lake City-Ogden-Clearfield, UT                        	      1776528	    1744886	  482	CSA	Slc	  34	+1.81%	Salt Lake City, UT MSA | Ogden-Clearfield, UT MSA | Brigham City, UT µSA | Heber, UT µSA
Milwaukee-Racine-Waukesha, WI                              	      1757604	    1751316	  376	CSA	Mil	  35	+0.36%	Milwaukee-Waukesha-West Allis, WI MSA | Racine, WI MSA
Nashville+Davidson-Murfreesboro-Columbia, TN               	      1698651	    1670890	  400	CSA	Nsh	  36	+1.66%	Nashville+Davidson-Murfreesboro-Franklin, TN MSA | Columbia, TN µSA
Virginia Beach-Norfolk-Newport News, VA-NC                 	      1679894	    1671683		MSA	Vab	  37	+0.49%
Greensboro-Winston+Salem-High Point, NC                    	      1602693	    1589200	  268	CSA	NCGr	  38	+0.85%	Greensboro-High Point, NC MSA | Winston-Salem, NC MSA | Thomasville-Lexington, NC µSA | Burlington, NC MSA | Mount Airy, NC µSA
Louisville/Jefferson County-Elizabethtown-Scottsburg, KY-IN	      1440607	    1427483	  350	CSA	Lou	  39	+0.92%	Louisville/Jefferson County, KY-IN MSA | Elizabethtown, KY MSA | Scottsburg, IN µSA
Jacksonville, FL                                           	      1360251	    1345596		MSA	Jax	  40	+1.09%
Oklahoma City-Shawnee, OK                                  	      1348333	    1322429	  416	CSA	Okc	  41	+1.96%	Oklahoma City, OK MSA | Shawnee, OK µSA
Hartford-West Hartford-Willimantic, CT                     	      1331406	    1330809	  278	CSA	Har	  42	+0.04%	Hartford-West Hartford-East Hartford, CT MSA | Willimantic, CT µSA
Grand Rapids-Muskegon-Holland, MI                          	      1328440	    1321557	  266	CSA	MIGr	  43	+0.52%	Grand Rapids-Wyoming, MI MSA | Holland-Grand Haven, MI MSA | Muskegon-Norton Shores, MI MSA | Allegan, MI µSA
Memphis, TN-MS-AR                                          	      1325605	    1316100		MSA	Mem	  44	+0.72%
Greenville-Spartanburg-Anderson, SC                        	      1281394	    1266995	  273	CSA	SCGr	  45	+1.14%	Greenville-Mauldin-Easley, SC MSA | Spartanburg, SC MSA | Anderson, SC MSA | Seneca, SC µSA | Gaffney, SC µSA | Union, SC µSA
Richmond, VA                                               	      1269380	    1258251		MSA	Ric	  46	+0.88%
New Orleans-Metairie-Bogalusa, LA                          	      1238228	    1214932	  406	CSA	No	  47	+1.92%	New Orleans-Metairie-Kenner, LA MSA | Bogalusa, LA µSA
Buffalo-Niagara-Cattaraugus, NY                            	      1213871	    1215826	  160	CSA	Buf	  48	-0.16%	Buffalo-Niagara Falls, NY MSA | Olean, NY µSA
Birmingham-Hoover-Cullman, AL                              	      1212800	    1208453	  142	CSA	Bir	  49	+0.36%	Birmingham-Hoover, AL MSA | Cullman, AL µSA
Albany-Schenectady-Amsterdam, NY                           	      1168120	    1168485	  104	CSA	Alb	  50	-0.03%	Albany-Schenectady-Troy, NY MSA | Glens Falls, NY MSA | Hudson, NY µSA | Gloversville, NY µSA | Amsterdam, NY µSA
Rochester-Batavia-Seneca Falls, NY                         	      1150469	    1149653	  464	CSA	Roc	  51	+0.07%	Rochester, NY MSA | Batavia, NY µSA | Seneca Falls, NY µSA
Fresno-Madera, CA                                          	      1095829	    1081315	  260	CSA	Caf	  52	+1.34%	Fresno, CA MSA | Madera-Chowchilla, CA MSA
Dayton-Springfield-Greenville, OH                          	      1075683	    1072891	  212	CSA	Ohd	  53	+0.26%	Dayton, OH MSA | Springfield, OH MSA | Greenville, OH µSA | Urbana, OH µSA
Knoxville-Sevierville-La Follette, TN                      	      1063354	    1055086	  314	CSA	Knx	  54	+0.78%	Knoxville, TN MSA | Morristown, TN MSA | Sevierville, TN µSA | Harriman, TN µSA | La Follette, TN µSA | Newport, TN µSA
Tulsa-Bartlesville, OK                                     	       998438	     988454	  538	CSA	Tul	  55	+1.01%	Tulsa, OK MSA | Bartlesville, OK µSA
Tucson, AZ                                                 	       989569	     980263		MSA	Tuc	  56	+0.95%
Honolulu, HI                                               	       963607	     953207		MSA	Hon	  57	+1.09%
Omaha-Council Bluffs-Fremont, NE-IA                        	       913883	     902041	  420	CSA	Oma	  58	+1.31%	Omaha-Council Bluffs, NE-IA MSA | Fremont, NE µSA
Albuquerque, NM                                            	       898642	     887077		MSA	Abq	  59	+1.30%
Little Rock-North Little Rock-Pine Bluff, AR               	       886992	     877091	  340	CSA	ARLr	  60	+1.13%	Little Rock-North Little Rock-Conway, AR MSA | Pine Bluff, AR MSA | Searcy, AR µSA
Sarasota-Bradenton-Punta Gorda, FL                         	       869866	     862259	  494	CSA	FLSar	  61	+0.88%	Bradenton-Sarasota-Venice, FL MSA | Punta Gorda, FL MSA
Bakersfield-Delano, CA                                     	       851710	     839631		MSA	CABak	  62	+1.44%
Baton Rouge-Pierre Part, LA                                	       831395	     825905	  132	CSA	LABr	  63	+0.66%	Baton Rouge, LA MSA | Pierre Part, LA µSA
Allentown-Bethlehem-Easton, PA-NJ                          	       824916	     821173		MSA	PAAl	  64	+0.46%
El Paso, TX                                                	       820790	     800647		MSA	Elp	  65	+2.52%
Columbia-Newberry, SC                                      	       814837	     805106	  192	CSA	SCCol	  66	+1.21%	Columbia, SC MSA | Newberry, SC µSA
McAllen-Edinburg-Mission, TX                               	       797810	     774769		MSA	TXMca	  67	+2.97%
Syracuse-Auburn, NY                                        	       742291	     742603	  532	CSA	Syr	  68	-0.04%	Syracuse, NY MSA | Auburn, NY µSA
Toledo-Fremont, OH                                         	       711000	     712373	  534	CSA	OHTol	  69	-0.19%	Toledo, OH MSA | Fremont, OH µSA
Chattanooga-Cleveland-Athens, TN-GA                        	       702714	     696197	  174	CSA	TNCha	  70	+0.94%	Chattanooga, TN-GA MSA | Cleveland, TN MSA | Athens, TN µSA
Lexington+Fayette-Frankfort-Richmond, KY                   	       696340	     687173	  336	CSA	KYLex	  71	+1.33%	Lexington-Fayette, KY MSA | Richmond-Berea, KY µSA | Frankfort, KY µSA | Mount Sterling, KY µSA
Stockton, CA                                               	       696214	     685306		MSA	CAStk	  72	+1.59%
Springfield, MA                                            	       693204	     692942		MSA	MASpr	  73	+0.04%
Harrisburg-Carlisle-Lebanon, PA                            	       687222	     683043	  276	CSA	PAHar	  74	+0.61%	Harrisburg-Carlisle, PA MSA | Lebanon, PA MSA
Charleston-North Charleston-Summerville, SC                	       682121	     664607		MSA	SCCha	  75	+2.64%
Youngstown-Warren-East Liverpool, OH-PA                    	       670309	     673614	  566	CSA	OHYng	  76	-0.49%	Youngstown-Warren-Boardman, OH-PA MSA | East Liverpool-Salem, OH µSA
Wichita-Winfield, KS                                       	       661798	     659372	  556	CSA	KSWic	  77	+0.37%	Wichita, KS MSA | Winfield, KS µSA
Colorado Springs, CO                                       	       660319	     645613		MSA	COCsp	  78	+2.28%
Des Moines-Newton-Pella, IA                                	       650137	     639784	  218	CSA	IADm	  79	+1.62%	Des Moines-West Des Moines, IA MSA | Newton, IA µSA | Pella, IA µSA
Madison-Baraboo, WI                                        	       638757	     630569	  358	CSA	WIMad	  80	+1.30%	Madison, WI MSA | Baraboo, WI µSA
Cape Coral-Fort Myers, FL                                  	       631330	     618754		MSA	FLCcl	  81	+2.03%
Boise City-Nampa, ID                                       	       627664	     616561		MSA	Boi	  82	+1.80%
Portland-Lewiston-South Portland, ME                       	       623205	     621800	  438	CSA	MEPor	  83	+0.23%	Portland-South Portland-Biddeford, ME MSA | Lewiston-Auburn, ME MSA
Fort Wayne-Huntington-Auburn, IN                           	       615077	     611712	  258	CSA	INFtw	  84	+0.55%	Fort Wayne, IN MSA | Kendallville, IN µSA | Auburn, IN µSA | Huntington, IN µSA | Decatur, IN µSA | Angola, IN µSA
Lakeland-Winter Haven, FL                                  	       609492	     602095		MSA	FLLkl	  85	+1.23%
Mobile-Daphne-Fairhope, AL                                 	       599294	     595257	  380	CSA	ALMob	  86	+0.68%	Mobile, AL MSA | Daphne-Fairhope-Foley, AL µSA
Huntsville-Decatur, AL                                     	       579550	     571422	  290	CSA	ALHun	  87	+1.42%	Huntsville, AL MSA | Decatur, AL MSA
Jackson-Yazoo City, MS                                     	       573280	     567122	  298	CSA	MSJac	  88	+1.09%	Jackson, MS MSA | Yazoo City, MS µSA
Port St. Lucie-Sebastian-Vero Beach, FL                    	       566768	     562135	  442	CSA	FLPsl	  89	+0.82%	Port St. Lucie, FL MSA | Sebastian-Vero Beach, FL MSA
South Bend-Elkhart-Mishawaka, IN-MI                        	       564679	     563834	  515	CSA	INSb	  90	+0.15%	South Bend-Mishawaka, IN-MI MSA | Elkhart-Goshen, IN MSA | Plymouth, IN µSA
Scranton-Wilkes-Barre, PA                                  	       563223	     563631		MSA	PAScr	  91	-0.07%
Mayagüez-San Germán-Cabo Rojo, PR                            	        	          	  364	CSA	     	 	       	32420: Mayagüez, PR MSA | 41900: San Germán-Cabo Rojo, PR MSA
Ponce-Yauco-Coamo, PR                                        	        	          	  434	CSA	     	 	       	17620: Coamo, PR µSA | 38660: Ponce, PR MSA | 42180: Santa Isabel, PR µSA | 49500: Yauco, PR MSA
San Juan-Caguas-Fajardo, PR                                  	        	          	  490	CSA	PRSj  	 	       	21940: Fajardo, PR MSA | 41980: San Juan-Caguas-Guaynabo, PR MSA | 46580: Utuado, PR µSA
Augusta-Richmond County, GA-SC                             	       561858	     556877		MSA		  92	+0.89%
Lafayette-Acadiana, LA                                     	       554517	     550134	  318	CSA		  93	+0.80%	Lafayette, LA MSA | Opelousas-Eunice, LA µSA | New Iberia, LA µSA | Crowley, LA µSA | Abbeville, LA µSA
Palm Bay-Melbourne-Titusville, FL                          	       543566	     543376		MSA		  94	+0.03%
Provo-Orem, UT                                             	       540834	     526810		MSA		  95	+2.66%
York-Hanover-Gettysburg, PA                                	       538204	     536379	  564	CSA		  96	+0.34%	York-Hanover, PA MSA | Gettysburg, PA µSA
Lansing-East Lansing-Owosso, MI                            	       534979	     534684	  330	CSA		  97	+0.06%	Lansing-East Lansing, MI MSA | Owosso, MI µSA
Lancaster, PA                                              	       523594	     519445		MSA		  98	+0.80%
Modesto, CA                                                	       518522	     514453		MSA		  99	+0.79%
Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA         	       509611	     508260	  304	CSA		 100	+0.27%	Kingsport-Bristol-Bristol, TN-VA MSA | Johnson City, TN MSA
Reno-Sparks-Fernley, NV                                    	       481477	     477397	  456	CSA		 101	+0.85%	Reno-Sparks, NV MSA | Fernley, NV µSA
Fayetteville-Springdale-Rogers, AR-MO                      	       473830	     463204		MSA		 102	+2.29%
Spokane, WA                                                	       473761	     471221		MSA		 103	+0.54%
Columbus-Auburn-Opelika, GA-AL                             	       466089	     456564	  194	CSA		 104	+2.09%	Columbus, GA-AL MSA | Auburn-Opelika, AL MSA | Tuskegee, AL µSA
Corpus Christi-Kingsville, TX                              	       464014	     460662	  204	CSA		 105	+0.73%	Corpus Christi, TX MSA | Kingsville, TX µSA
Asheville-Brevard, NC                                      	       461837	     457948	  120	CSA		 106	+0.85%	Asheville, NC MSA | Brevard, NC µSA
Pensacola-Ferry Pass-Brent, FL                             	       453218	     448991		MSA		 107	+0.94%
Visalia-Porterville, CA                                    	       449253	     442179		MSA		 108	+1.60%
Rockford-Freeport-Rochelle, IL                             	       449038	     450639	  466	CSA		 109	-0.36%	Rockford, IL MSA | Rochelle, IL µSA | Freeport, IL µSA
Shreveport-Bossier City-Minden, LA                         	       444883	     439811	  508	CSA		 110	+1.15%	Shreveport-Bossier City, LA MSA | Minden, LA µSA
Springfield, MO                                            	       440142	     436712		MSA		 111	+0.79%
Brownsville-Harlingen-Raymondville, TX                     	       436218	     428354	  154	CSA		 112	+1.84%	Brownsville-Harlingen, TX MSA | Raymondville, TX µSA
Savannah-Hinesville-Fort Stewart, GA                       	       436163	     425528	  496	CSA		 113	+2.50%	Savannah, GA MSA | Hinesville-Fort Stewart, GA MSA
Montgomery-Alexander City, AL                              	       430944	     427691	  388	CSA		 114	+0.76%	Montgomery, AL MSA | Alexander City, AL µSA
Santa Barbara-Santa Maria-Goleta, CA                       	       426878	     423895		MSA		 115	+0.70%
Salinas, CA                                                	       421898	     415057		MSA		 116	+1.65%
Peoria-Canton, IL                                          	       416518	     416255	  426	CSA		 117	+0.06%	Peoria, IL MSA | Canton, IL µSA
Gulfport-Biloxi-Pascagoula, MS                             	       416301	     411066	  274	CSA		 118	+1.27%	Gulfport-Biloxi, MS MSA | Pascagoula, MS MSA
Killeen-Temple-Fort Hood, TX                               	       411595	     405300		MSA		 119	+1.55%
Macon-Warner Robins-Fort Valley, GA                        	       404668	     399888	  356	CSA		 120	+1.20%	Macon, GA MSA | Warner Robins, GA MSA | Fort Valley, GA µSA
Canton-Massillon, OH                                       	       403869	     404422		MSA		 121	-0.14%
Appleton-Oshkosh-Neenah, WI                                	       395102	     392660	  118	CSA		 122	+0.62%	Appleton, WI MSA | Oshkosh-Neenah, WI MSA
Salem, OR                                                  	       394865	     390738		MSA		 123	+1.06%
Beaumont-Port Arthur, TX                                   	       390535	     388745		MSA		 124	+0.46%
Anchorage, AK                                              	       387516	     380821		MSA	Anc	 125	+1.76%
Davenport-Moline-Rock Island, IA-IL                        	       381342	     379690		MSA		 126	+0.44%
Fayetteville, NC                                           	       374157	     366383		MSA		 127	+2.12%
Tallahassee, FL                                            	       369758	     367413		MSA		 128	+0.64%
Wilmington, NC                                             	       369685	     362315		MSA		 129	+2.03%
Hickory-Lenoir-Morganton, NC                               	       364567	     365497		MSA		 130	-0.25%
Evansville, IN-KY                                          	       359879	     358676		MSA		 131	+0.34%
Eugene-Springfield, OR                                     	       353416	     351715		MSA		 132	+0.48%
Myrtle Beach-Conway-Georgetown, SC                         	       336331	     329449	  396	CSA		 133	+2.09%	Myrtle Beach-North Myrtle Beach-Conway, SC MSA | Georgetown, SC µSA
Ocala, FL                                                  	       332529	     331298		MSA		 134	+0.37%
Kalamazoo-Portage, MI                                      	       328205	     326589		MSA		 135	+0.49%
Naples-Marco Island, FL                                    	       328134	     321520		MSA		 136	+2.06%
Lubbock-Levelland, TX                                      	       312894	     307825	  352	CSA		 137	+1.65%	Lubbock, TX MSA | Levelland, TX µSA
Green Bay, WI                                              	       309469	     306241		MSA		 138	+1.05%
Roanoke, VA                                                	       308861	     308707		MSA		 139	+0.05%
Lincoln, NE                                                	       306503	     302157		MSA		 140	+1.44%
Saginaw-Bay City-Saginaw Township North, MI                	       306198	     307940	  474	CSA		 141	-0.57%	Saginaw-Saginaw Township North, MI MSA | Bay City, MI MSA
Fort Collins-Loveland, CO                                  	       305525	     299630		MSA		 142	+1.97%
Charleston, WV                                             	       303674	     304284		MSA		 143	-0.20%
Fort Smith, AR-OK                                          	       300087	     298592		MSA		 144	+0.50%
Utica-Rome, NY                                             	       298447	     299397		MSA		 145	-0.32%
Huntington-Ashland, WV-KY-OH                               	       287599	     287702		MSA		 146	-0.04%
Longview-Marshall, TX                                      	       282962	     280000	  346	CSA		 147	+1.06%	Longview, TX MSA | Marshall, TX µSA
Erie, PA                                                   	       280985	     280566		MSA		 148	+0.15%
Midland-Odessa, TX                                         	       280419	     274002	  372	CSA		 149	+2.34%	Odessa, TX MSA | Midland, TX MSA
Duluth, MN-WI                                              	       279815	     279771		MSA		 150	+0.02%
Clarksville, TN-KY                                         	       277701	     273949		MSA		 151	+1.37%
Atlantic City-Hammonton, NJ                                	       274338	     274549		MSA		 152	-0.08%
Norwich-New London, CT                                     	       273502	     274055		MSA		 153	-0.20%
San Luis Obispo-Paso Robles, CA                            	       271969	     269637		MSA		 154	+0.86%
Hagerstown-Martinsburg, MD-WV                              	       271488	     269140		MSA		 155	+0.87%
Gainesville, FL                                            	       266369	     264275		MSA		 156	+0.79%
Tyler-Jacksonville, TX                                     	       264521	     260559	  540	CSA		 157	+1.52%	Tyler, TX MSA | Jacksonville, TX µSA
Kennewick-Pasco-Richland, WA                               	       264133	     253340		MSA		 158	+4.26%
Cedar Rapids, IA                                           	       260575	     257940		MSA		 159	+1.02%
Merced, CA                                                 	       259898	     255793		MSA		 160	+1.60%
Laredo, TX                                                 	       256496	     250304		MSA		 161	+2.47%
Lynchburg, VA                                              	       254171	     252634		MSA		 162	+0.61%
Amarillo, TX                                               	       253823	     249881		MSA		 163	+1.58%
Binghamton, NY                                             	       250074	     251725		MSA		 164	-0.66%
Yakima, WA                                                 	       247141	     243231		MSA		 165	+1.61%
Dothan-Enterprise-Ozark, AL                                	       247132	     245838	  222	CSA		 166	+0.53%	Dothan, AL MSA | Enterprise-Ozark, AL µSA
Waco, TX                                                   	       238564	     234906		MSA		 167	+1.56%
Lafayette-Frankfort, IN                                    	       236712	     235013	  320	CSA		 168	+0.72%	Lafayette, IN MSA | Frankfort, IN µSA
Fargo-Wahpeton, ND-MN                                      	       235008	     231674	  244	CSA		 169	+1.44%	Fargo, ND-MN MSA | Wahpeton, ND-MN µSA
Topeka, KS                                                 	       234647	     233870		MSA		 170	+0.33%
Lake Charles-Jennings, LA                                  	       232516	     231201	  324	CSA		 171	+0.57%	Lake Charles, LA MSA | Jennings, LA µSA
Sioux Falls, SD                                            	       232433	     228261		MSA		 172	+1.83%
Champaign-Urbana, IL                                       	       232336	     231891		MSA		 173	+0.19%
College Station-Bryan, TX                                  	       231623	     228660		MSA		 174	+1.30%
Tuscaloosa, AL                                             	       221553	     219461		MSA		 175	+0.95%
Chico, CA                                                  	       220266	     220000		MSA		 176	+0.12%
Claremont-Lebanon, NH-VT                                   	       218057	     218466	  180	CSA		 177	-0.19%	Lebanon, NH-VT µSA | Claremont, NH µSA
Barnstable Town, MA                                        	       215769	     215888		MSA		 178	-0.06%
Las Cruces, NM                                             	       213598	     209233		MSA		 179	+2.09%
Burlington-South Burlington, VT                            	       212535	     211261		MSA		 180	+0.60%
Prescott, AZ                                               	       211888	     211033		MSA		 181	+0.41%
Springfield, IL                                            	       211547	     210170		MSA		 182	+0.66%
Houma-Bayou Cane-Thibodaux, LA                             	       208583	     208178		MSA		 183	+0.19%
Eau Claire-Menomonie, WI                                   	       206628	     205008	  232	CSA		 184	+0.79%	Eau Claire, WI MSA | Menomonie, WI µSA
Florence, SC                                               	       206161	     205566		MSA		 185	+0.29%
Monroe-Bastrop, LA                                         	       205259	     204420	  384	CSA		 186	+0.41%	Monroe, LA MSA | Bastrop, LA µSA
Medford, OR                                                	       204822	     203206		MSA		 187	+0.80%
Albany-Corvallis-Lebanon, OR                               	       204050	     202251	  102	CSA		 188	+0.89%	Albany-Lebanon, OR µSA | Corvallis, OR MSA
Charlottesville, VA                                        	       203882	     201559		MSA		 189	+1.15%
Bellingham, WA                                             	       203663	     201140		MSA		 190	+1.25%
Lake Havasu City-Kingman, AZ                               	       202351	     200186		MSA		 191	+1.08%
Yuma, AZ                                                   	       200870	     195751		MSA		 192	+2.62%
Seaford, DE                                                	       200330	     197145		µSA		 193	+1.62%
Bloomington, IN                                            	       194193	     192714		MSA		 194	+0.77%
Athens-Clarke County, GA                                   	       193317	     192541		MSA		 195	+0.40%
Greenville, NC                                             	       192690	     189510		MSA		 196	+1.68%
Fond du Lac-Beaver Dam, WI                                 	       190740	     190392	  252	CSA		 197	+0.18%	Fond du Lac, WI MSA | Beaver Dam, WI µSA
Hilton Head Island-Beaufort, SC                            	       189879	     187010		µSA		 198	+1.53%
Rochester, MN                                              	       187612	     186011		MSA		 199	+0.86%
Hilo, HI                                                   	       186738	     185079		µSA		 200	+0.90%
Santa Fe-Espanola, NM                                      	       186094	     184416	  492	CSA		 201	+0.91%	Santa Fe, NM MSA | Espanola, NM µSA
Crestview-Fort Walton Beach-Destin, FL                     	       183482	     180822		MSA		 202	+1.47%
Bend-Prineville, OR                                        	       181177	     178711	  140	CSA		 203	+1.38%	Bend, OR MSA | Prineville, OR µSA
Lima-Van Wert-Wapakoneta, OH                               	       180533	     181024	  338	CSA		 204	-0.27%	Lima, OH MSA | Wapakoneta, OH µSA | Van Wert, OH µSA
Jacksonville, NC                                           	       179719	     177772		MSA		 205	+1.10%
Sunbury-Lewisburg-Selinsgrove, PA                          	       179224	     179177	  526	CSA		 206	+0.03%	Sunbury, PA µSA | Lewisburg, PA µSA | Selinsgrove, PA µSA
Idaho Falls-Blackfoot, ID                                  	       178025	     175981	  292	CSA		 207	+1.16%	Idaho Falls, ID MSA | Blackfoot, ID µSA
Redding, CA                                                	       177774	     177223		MSA		 208	+0.31%
El Centro, CA                                              	       177057	     174528		MSA		 209	+1.45%
