Rank	Name                                                    	Population	Area km^2	pop/km^2
  80	Toledo, OH--MI                                          	    507643	   622.7	   815.2
  81	Worcester, MA--CT                                       	    486514	   787.6	   617.7
  82	Provo--Orem, UT                                         	    482819	   437.6	  1103.2
  83	Wichita, KS                                             	    472870	   556.2	   850.2
  84	Palm Bay--Melbourne, FL                                 	    452791	   600.8	   753.6
  85	Des Moines, IA                                          	    450070	   519.5	   866.3
  86	Harrisburg, PA                                          	    444474	   672.6	   660.9
  87	Murrieta--Temecula--Menifee, CA                         	    441546	   418.9	  1054.2
  88	Little Rock, AR                                         	    431388	   669.0	   644.8
  89	Poughkeepsie--Newburgh, NY--NJ                          	    423566	   847.3	   499.9
  90	Syracuse, NY                                            	    412317	   504.9	   816.7
  91	Lancaster, PA                                           	    402004	   641.1	   627.1
  92	Madison, WI                                             	    401661	   391.1	  1027.0
  93	Greenville, SC                                          	    400492	   829.4	   482.9
  94	Reno, NV--CA                                            	    392141	   425.7	   921.1
  95	Winston-Salem, NC                                       	    391024	   835.5	   468.0
  96	Spokane, WA                                             	    387847	   425.3	   912.0
  97	Youngstown, OH--PA                                      	    387550	   624.4	   620.7
  98	Augusta-Richmond County, GA--SC                         	    386787	   672.2	   575.4
  99	Scranton, PA                                            	    381502	   442.3	   862.5
 100	Chattanooga, TN--GA                                     	    381112	   777.3	   490.3
 101	Port St. Lucie, FL                                      	    376047	   539.0	   697.7
 102	Stockton, CA                                            	    370583	   239.6	  1546.5
 103	Oxnard, CA                                              	    367260	   218.6	  1680.4
 104	Denton--Lewisville, TX                                  	    366174	   376.0	   973.8
 105	Modesto, CA                                             	    358172	   238.0	  1505.1
 106	Flint, MI                                               	    356218	   611.0	   583.0
 107	Jackson, MS                                             	    351478	   628.0	   559.6
 108	Boise City, ID                                          	    349684	   346.6	  1008.9
 109	Palm Coast--Daytona Beach--Port Orange, FL              	    349064	   464.5	   751.5
 110	Durham, NC                                              	    347602	   470.7	   738.5
 111	Indio--Cathedral City, CA                               	    345580	   372.4	   927.9
 112	Lancaster--Palmdale, CA                                 	    341219	   299.1	  1140.6
 113	Pensacola, FL--AL                                       	    340067	   602.5	   564.4
 114	Victorville--Hesperia, CA                               	    328454	   432.1	   760.2
 115	Mobile, AL                                              	    326183	   576.9	   565.4
 116	Corpus Christi, TX                                      	    320069	   311.5	  1027.4
 117	Kissimmee, FL                                           	    314071	   409.9	   766.2
 118	Lansing, MI                                             	    313532	   409.7	   765.3
 119	Fort Wayne, IN                                          	    313492	   445.8	   703.2
 120	Greensboro, NC                                          	    311810	   479.7	   650.0
 121	Bonita Springs, FL                                      	    310298	   484.2	   640.8
 122	Fayetteville, NC                                        	    310282	   512.9	   605.0
 123	Santa Rosa, CA                                          	    308231	   253.8	  1214.5
 124	Aguadilla--Isabela--San Sebastian, PR                   	    306196	   619.7	   494.1
 125	Ann Arbor, MI                                           	    306022	   413.3	   740.5
 126	Shreveport, LA                                          	    298317	   479.7	   621.8
