1995-10-09T05:00:00Z	1995-10-09T05:00:00Z	Iowa City, IA			Man repts. witnessing "flash, followed by a classic UFO, w/ a tailfin at back." Red color on top half of tailfin. Became triangular.	41.6606893	-91.5302214	Iowa City	Iowa	Iowa	United States of America	
1995-10-10T05:00:00Z	1995-10-11T05:00:00Z	Milwaukee, WI		2 min.	Man  on Hwy 43 SW of Milwaukee sees large, bright blue light streak by his car, descend, turn, cross road ahead, strobe. Bizarre!	43.0349931	-87.922497	Milwaukee	Milwaukee County	Wisconsin	United States of America	2 min
1995-01-01T06:00:00Z	1995-01-03T06:00:00Z	Shelton, WA			Telephoned Report:CA woman visiting daughter witness discs and triangular ships over Squaxin Island in Puget Sound. Dramatic.  Written report, with illustrations, submitted to NUFORC.	47.2150945	-123.1007066	Shelton	Mason County	Washington	United States of America	
1995-05-10T05:00:00Z	1995-05-10T05:00:00Z	Columbia, MO		2 min.	Man repts. son's bizarre sighting of small humanoid creature in back yard.  Reptd. in Acteon Journal, St. Louis UFO newsletter.	38.951883	-92.3337366	Columbia	Boone County	Missouri	United States of America	2 min
1995-06-11T05:00:00Z	1995-06-14T05:00:00Z	Seattle, WA			Anonymous caller repts. sighting 4 ufo's in NNE sky, 45 deg. above horizon.  (No other facts reptd.  No return tel. #.)	47.6038321	-122.3300624	Seattle	King County	Washington	United States of America	
1995-10-25T05:00:00Z	1995-10-24T05:00:00Z	Brunswick County, ND		30 min.	Sheriff's office calls to rept. that deputy, 20 mi. SSE of Wilmington,  is looking at peculiar, bright white, strobing light.							30 min
1995-04-20T05:00:00Z	1995-04-19T05:00:00Z	Fargo, ND		2 min.	Female student w/ friend witness huge red light in sky.  2 others witness.  Obj pulsated, started to flicker.  Winked out.	46.8171175	-96.8351055301007	Fargo	Cass County	North Dakota	United States of America	2 min
1995-09-11T05:00:00Z	1995-09-11T05:00:00Z	Las Vegas, NV			Man repts. bright, multi-colored obj. in NW night sky. Disappeared while he was in house.	36.145204	-115.1611806	Las Vegas	Clark	Nevada	United States of America	
1995-01-15T06:00:00Z	1995-02-14T06:00:00Z	Morton, WA			Woman reports 2 craft fly over house.  Strange events taking place in town w/ paramilitary activities.	46.5570542	-122.2751715	Morton	Lewis County	Washington	United States of America	
1995-09-15T05:00:00Z	1995-09-15T05:00:00Z	Redmond, WA		6 min.	Young man w/ 2 co-workers witness tiny, distinctly white round disc drifting slowly toward NE.  Flew in dir. 90 deg. to winds.	47.6694141	-122.1238767	Redmond	King County	Washington	United States of America	6 min
1994-08-01T05:00:00Z	1995-02-20T06:00:00Z	Renton, WA			Man repts. seeing 2x large ships hovering in night sky while using Russian-made night binoculars.	47.481545	-122.189811416667	Renton	King County	Washington	United States of America	
1995-07-22T05:00:00Z	1995-07-24T05:00:00Z	Springfield, IL		1 min.	Man & mother report small, glowing, cigar-shaped obj. moving slowly across sky.  Accelerated suddenly, streaked off.	39.7989763	-89.6443688	Springfield	Sangamon County	Illinois	United States of America	1 min
1995-06-11T05:00:00Z	1995-06-12T05:00:00Z	Sharon, MA			Man witnessed "tablet shaped obj., like stubby aspirin," with dull, metallic surface, descend, follow military jets.  Good rept.	42.1237102	-71.1786627	Sharon	Norfolk County	Massachusetts	United States of America	
1995-08-21T05:00:00Z	1995-08-23T05:00:00Z	Laporte, WA		5 sec.	Several children report to their father that they witnessed "red star" streak across sky.	48.609001	-122.922632	Orcas	San Juan County	Washington	United States of America	5 sec
1995-04-16T05:00:00Z	1995-04-16T05:00:00Z	Villa Rica, GA			GA Hwy. Patrol dispatch repts. trooper observed advertising blimp for video company in area of prior report.	33.732052	-84.9191081	Villa Rica	Carroll County	Georgia	United States of America	
1995-02-07T06:00:00Z	1995-02-07T06:00:00Z	Raymond, WA			Woman witnesses object.  (Facts unclear.)	46.6864843	-123.7329469	Raymond	Pacific County	Washington	United States of America	
1995-11-18T06:00:00Z	1995-11-17T06:00:00Z	Orlando, FL			Woman repts. bizarre "half circle" obj. in sky to SE.  Projects ray downward!  Something appeared to "fall" from the main object.	28.5421175	-81.3790462	Orlando	Orange County	Florida	United States of America	
1995-06-10T05:00:00Z	1995-06-11T05:00:00Z	Glade Spring, VA		5 min.	Woman, children, and grandmother witness 4 bizarre, bright green "stars" hovering nearby.  Suddenly got brighter, streak off.	36.791225	-81.7712324	Glade Spring	Washington County	Virginia	United States of America	5 min
1995-05-14T05:00:00Z	1995-05-14T05:00:00Z	Silver Beach, NY		25 min.	Woman repts. eight people observing very large obj.--1/2 diameter of full moon--visible in western sky.  Moves to south.	40.8116667	-73.8063889	Silver Beach	Bronx	New York	United States of America	25 min
1995-02-04T06:00:00Z	1995-02-04T06:00:00Z	Lewiston, MT			Man & wife witness bright white light w/ red & blue lights.  Moves slowly.	46.438642	-109.83191	Harlowton	Wheatland	Montana	United States of America	
1995-08-12T05:00:00Z	1995-09-11T05:00:00Z	Fort Myers Beach, FL			Woman witnesses "meteor shower" over G. of Mex..  Minutes later, sees very bright light streak overhead at very low altitude.	26.4520248	-81.948145	Fort Myers Beach	Lee County	Florida	United States of America	
1995-11-06T06:00:00Z	1995-11-06T06:00:00Z	St. Augustine, FL		20 sec.	Anon. rpt. of bizarre obj. that "looked like the Shuttle" moving S to N across sky, 20 deg. in 20 sec.. Visible exhaust plume. Bright.	29.894691	-81.314517	St. Augustine		Florida	United States of America	20 sec
1995-06-28T05:00:00Z	1995-06-28T05:00:00Z	Lisbon, ME			Young man looking out window sees very  bright "star" drifting slowly across sky.  Calls police. Two witnesses.	44.0314649	-70.1044975	Lisbon	Androscoggin	Maine	United States of America	
1995-03-14T06:00:00Z	1995-03-14T06:00:00Z	Fontana, CA		5 min.	Nine adults witnessing 6-8 objects moving in western sky.  Shaped like arrow, then square.  Many 911 reports.	34.1088175	-117.459930142996	Fontana	San Bernardino County	California	United States of America	5 min
1995-03-06T06:00:00Z	1995-03-07T06:00:00Z	Hilltop, NJ		5 sec.	Young boy reports seeing oval-shaped object w/ "lots of lights. (Got tel. # from I. Asimov book.)	40.4926	-75.3787909	Hilltop	Bucks	Pennsylvania	United States of America	5 sec
